	EWsiteHyd_index	Sample	MG_name	Index	Location	Pl_Sp	EWcoastGroup	SALTgroup	LU	Depth	EW.no	iTag_name.x	Site_indx	Salinity.x	Bulk_dens	H2O_FPS	CO2_mg_m2_h	CO2_soilC_mg_g_d	CH4_ug_m2_h	CH4_CO2	CH4_soilC_ug_g_d	pH	Cl	SO4	Corg_LOI	C	N	P	NO3_N	NH4_N	Olsen_P	CN	CP	NP	NP_ext	NO3_NH4	C_g_m2	N_g_m2	P_g_m2	Fe	Mn	Cu	Zn	Salinity.y	CO2_mg_m2_h	CH4_ug_m2_h	Cl_pw	SO4_pw	DOC_mg_L	NO2_pw	NO3_pw	NH3_pw	PO4_pw	Fe_pw	Mn_pw	Co_pw	Cu_pw	Zn_pw	Ca_pw	Sr_pw	Mg_pw	Na_pw	K_pw	Al_pw	Si_pw	Br_pw	F_pw
10	10	Sandmound_ThreeSqB_D1	Sandmound_ThreeSqB_D1	6	Sandmound	ThreeSq	SF_Ref	FW	Ref	d1	6	s006_Sandmound_ThreeSqB_D1	10	0.584762462	0.240423635	84.25657106	2.644391613	0.011375704	0.661727234	0.025023799	0.002846633	6.25	16.2	82.1	15.47	15.41	1.069	0.096	0.36	42.9	12.7	16.87635181	415.5633204	24.62400199	997.539043	0.008391608	5579.030442	385.5192982	34.62100339	25290	581	68	88	0.58	2.644391613	0.661727234	218.6595	2.356	11.7	0.9705	NA	4.598	NA	2565.08	576.19	0.6	1.42	NA	48449.61	211.07	21267.82	103955.03	NA	22.06	10336.97	1.289	0.407
11	11	Sandmound_ThreeSqB_D2	Sandmound_ThreeSqB_D2	89	Sandmound	ThreeSq	SF_Ref	FW	Ref	d2	89	s089_Sandmound_ThreeSqB_D2	11	0.584762462	0.249087549	83.39017958	2.644391613	0.010389053	0.661727234	0.025023799	0.002599736	5.94	18.52	58.8	16.35	16.23	1.021	0.095	0.68	29.48	8.6	18.67488674	443.8255284	23.76590201	702.7847881	0.023066486	6108.872149	381.4775819	35.49497579	25290	581	68	88	0.58	2.644391613	0.661727234	218.6595	2.356	11.7	0.9705	NA	4.598	NA	2565.08	576.19	0.6	1.42	NA	48449.61	211.07	21267.82	103955.03	NA	22.06	10336.97	1.289	0.407
12	12	Sandmound_ThreeSqC_D1	Sandmound_ThreeSqC_D1	7	Sandmound	ThreeSq	SF_Ref	FW	Ref	d1	7	s007_Sandmound_ThreeSqC_D1	12	0.631436206	0.221003249	80.6918841	5.028706753	0.02207786	-0.341332784	-0.006787685	-0.001498576	6.44	13.76	56.3	16.49	16.62	1.079	0.092	0.33	49.32	16.3	17.82235839	462.222365	25.93497196	1194.664741	0.006690998	5466.515375	357.6937592	30.49844842	25180	1164	64	86	0.63	5.028706753	-0.341332784	418.5935	15.828	11.45	NA	0.0845	NA	NA	271.27	385.36	1.23	3.45	NA	56285.76	331.13	33854.91	181577.27	NA	18.27	10055.29	1.795	0.417
13	13	Sandmound_ThreeSqC_D2	Sandmound_ThreeSqC_D2	90	Sandmound	ThreeSq	SF_Ref	FW	Ref	d2	90	s090_Sandmound_ThreeSqC_D2	13	0.631436206	0.252868834	77.50532562	5.028706753	0.018760964	-0.341332784	-0.006787685	-0.001273435	6.11	13.12	54.8	16.96	15.95	1.02	0.098	0.68	47.43	12.4	19.39061742	446.2907641	23.01580988	1086.735619	0.014336918	6432.983143	386.8893164	37.17171863	25180	1164	64	86	0.63	5.028706753	-0.341332784	418.5935	15.828	11.45	NA	0.0845	NA	NA	271.27	385.36	1.23	3.45	NA	56285.76	331.13	33854.91	181577.27	NA	18.27	10055.29	1.795	0.417
14	14	WestPond_TuleA_D1	WestPond_TuleA_D1	8	WestPond	Tule	SF_Rest	FW	West	d1	8	s008_WestPond_TuleA_D1	14	0.358055401	0.056443936	69.614188	24.35567428	0.139390931	282.2282567	1.158778252	1.615231797	6.3	3.25	32.2	49.53	43.4	1.693	0.09	2.72	225.21	14.5	34.11751032	1419.201121	41.59744096	5606.264733	0.012077616	4193.502241	143.339376	7.619931389	13180	136	40	48	0.36	24.35567428	282.2282567	160.541	7.9715	10.65	0.982	0.594	NA	NA	80.48	0.9	0.15	0.89	NA	45960.11	206.84	20835.52	67222.29	1141.02	26.53	10654.28	1.0485	0.427
15	15	WestPond_TuleA_D2	WestPond_TuleA_D2	91	WestPond	Tule	SF_Rest	FW	West	d2	91	s091_WestPond_TuleA_D2	15	0.358055401	0.07375341	67.88324062	24.35567428	0.138606993	282.2282567	1.158778252	1.606147696	5.78	9.41	42.6	38.12	34.88	1.533	0.119	2.14	67.11	8.5	28.99857779	826.083709	28.48704219	1288.212286	0.031887945	4217.219983	169.5959663	13.16498368	13180	136	40	48	0.36	24.35567428	282.2282567	160.541	7.9715	10.65	0.982	0.594	NA	NA	80.48	0.9	0.15	0.89	NA	45960.11	206.84	20835.52	67222.29	1141.02	26.53	10654.28	1.0485	0.427
16	16	WestPond_TuleB_D1	WestPond_TuleB_D1	9	WestPond	Tule	SF_Rest	FW	West	d1	9	s009_WestPond_TuleB_D1	16	0.380244176	0.06299694	65.28773734	9.77780885	0.058145017	31.71546917	0.324361722	0.188600179	6.3	5.36	46.6	42.71	38.44	2.059	0.113	4.97	115.64	6.9	24.19018482	974.6961598	40.29304311	2362.759373	0.042978208	4035.898932	194.5660478	10.67798125	15880	139	38	46	0.38	9.77780885	31.71546917	115.5075	12.154	10.24	1.12	0.079	0.984	NA	49.43	50.3	0.21	0.5	NA	37792.07	141.74	15183.38	57146	5081.79	22.9	12007.63	0.942	0.4505
17	17	WestPond_TuleB_D2	WestPond_TuleB_D2	92	WestPond	Tule	SF_Rest	FW	West	d2	92	s092_WestPond_TuleB_D2	17	0.380244176	0.082325546	63.3548767	9.77780885	0.054544223	31.71546917	0.324361722	0.176920581	5.8	7.56	63.3	34.84	32.85	1.592	0.107	2.9	75.99	5.7	25.52119728	839.6774608	32.90117825	1632.122677	0.038162916	4302.333033	196.5934038	13.21325013	15880	139	38	46	0.38	9.77780885	31.71546917	115.5075	12.154	10.24	1.12	0.079	0.984	NA	49.43	50.3	0.21	0.5	NA	37792.07	141.74	15183.38	57146	5081.79	22.9	12007.63	0.942	0.4505
18	18	WestPond_TuleC_D1	WestPond_TuleC_D1	10	WestPond	Tule	SF_Rest	FW	West	d1	10	s010_WestPond_TuleC_D1	18	0.374460255	0.074193948	78.85263778	4.630644423	0.022029631	1.026137308	0.022159709	0.004881702	6.34	5.55	42.9	45.33	40.59	2.159	0.12	1.94	130.39	9.8	24.48493968	974.1427442	39.78538469	2441.134379	0.014878442	5044.817496	240.2771007	13.35491064	9930	85	33	38	0.37	4.630644423	1.026137308	187.8235	28.0435	15.72	0.9945	4.4145	NA	0.844	47.02	0.66	0.37	20.36	15.68	40939.41	173.97	20383.92	87546.9	4173.92	35.34	10294.88	1.0555	0.4675
19	19	WestPond_TuleC_D2	WestPond_TuleC_D2	93	WestPond	Tule	SF_Rest	FW	West	d2	93	s093_WestPond_TuleC_D2	19	0.374460255	0.064704024	79.80163014	4.630644423	0.025519611	1.026137308	0.022159709	0.005655071	5.97	9.37	59.3	44.87	40.03	1.719	0.112	2.88	101.27	9.4	30.44010559	1033.132857	33.93985788	2058.523704	0.028438827	4354.904365	166.839327	10.87027611	9930	85	33	38	0.37	4.630644423	1.026137308	187.8235	28.0435	15.72	0.9945	4.4145	NA	0.844	47.02	0.66	0.37	20.36	15.68	40939.41	173.97	20383.92	87546.9	4173.92	35.34	10294.88	1.0555	0.4675
20	20	WestPond_CattailA_D1	WestPond_CattailA_D1	11	WestPond	Cattail	SF_Rest	FW	West	d1	11	s011_WestPond_CattailA_D1	20	0.417574716	0.07021075	75.57980727	14.80868675	0.08133725	135.0238335	0.911788032	0.741623307	6.39	6.85	55.3	41.49	37.63	2.048	0.173	1.97	126.86	18.2	23.6254149	618.4654722	26.17797295	1648.486991	0.01552893	4369.566022	215.6874238	18.21968961	17180	139	47	67	0.42	14.80868675	135.0238335	3448.372	346.17	32.15	0.366	NA	0.028	NA	70.28	104.2	1.9	32.81	29.95	85518.77	1817.5	225966.52	1855692.54	49657.4	23.79	13676.11	10.79	0.25
21	21	WestPond_CattailA_D2	WestPond_CattailA_D2	94	WestPond	Cattail	SF_Rest	FW	West	d2	94	s094_WestPond_CattailA_D2	21	0.417574716	0.088382944	73.76258786	14.80868675	0.076858444	135.0238335	0.911788032	0.700786096	5.78	10.09	57.9	34.88	33.22	1.58	0.1	2.07	158.34	6.8	25.74455273	899.4864041	34.93890198	3550.962283	0.013073134	4624.195631	209.4675773	13.2574416	17180	139	47	67	0.42	14.80868675	135.0238335	3448.372	346.17	32.15	0.366	NA	0.028	NA	70.28	104.2	1.9	32.81	29.95	85518.77	1817.5	225966.52	1855692.54	49657.4	23.79	13676.11	10.79	0.25
22	22	WestPond_CattailB_D1	WestPond_CattailB_D1	12	WestPond	Cattail	SF_Rest	FW	West	d1	12	s012_WestPond_CattailB_D1	22	0.423137002	0.061565191	72.77321285	18.0642218	0.107135065	26.73814724	0.148017155	0.158578275	6.33	6.9	57.6	43.82	40.89	2.002	0.117	2.71	235.67	10.1	25.52550023	965.8387788	37.83819202	4510.228805	0.01149913	4046.679999	184.8802683	10.80469101	13270	99	54	42	0.42	18.0642218	26.73814724	242.1595	24.5155	9.884	0.958	NA	NA	NA	51.92	27.53	0.17	2.69	68.56	51091.96	259.96	26250.82	106264.99	1909.2	23.29	11719.34	1.2905	0.4325
23	23	WestPond_CattailB_D2	WestPond_CattailB_D2	95	WestPond	Cattail	SF_Rest	FW	West	d2	95	s095_WestPond_CattailB_D2	23	0.423137002	0.05604011	73.32572097	18.0642218	0.117939908	26.73814724	0.148017155	0.174571297	5.93	10.23	59.3	43.73	39.36	1.731	0.108	1.4	79.34	4.4	29.46106017	1044.176341	35.4425922	1655.383598	0.017645576	3675.950994	145.5081448	9.078497768	13270	99	54	42	0.42	18.0642218	26.73814724	242.1595	24.5155	9.884	0.958	NA	NA	NA	51.92	27.53	0.17	2.69	68.56	51091.96	259.96	26250.82	106264.99	1909.2	23.29	11719.34	1.2905	0.4325
24	24	WestPond_CattailC_D1	NA	13	WestPond	Cattail	SF_Rest	FW	West	d1	13	s013_WestPond_CattailC_D1	24	0.36659283	0.069256251	83.01755783	17.81102623	0.09665989	102.6551443	0.576357269	0.557106304	6.34	6.85	58.1	42.57	40.25	2.044	0.119	2.86	163.21	14.2	24.28783033	922.51793	37.98272292	3089.291183	0.017523436	4422.357897	212.3396651	12.36224078	17860	158	50	60	0.37	17.81102623	102.6551443	199.869	10.39	10.44	0.9945	0.161	NA	NA	53.7	0.74	0.16	2.16	0.95	56222.15	255.36	25103.66	85814.93	17074.79	23.04	11331.48	1.1535	0.428
25	25	WestPond_CattailC_D2	WestPond_CattailC_D2	96	WestPond	Cattail	SF_Rest	FW	West	d2	96	s096_WestPond_CattailC_D2	25	0.36659283	0.118725001	78.07068277	17.81102623	0.081977689	102.6551443	0.576357269	0.472484368	5.62	12.98	62.8	29.28	28.94	1.421	0.095	0.73	98.05	11.6	24.02940162	794.8141572	33.07673532	2301.759992	0.007445181	5214.402063	253.0623406	16.91831271	17860	158	50	60	0.37	17.81102623	102.6551443	199.869	10.39	10.44	0.9945	0.161	NA	NA	53.7	0.74	0.16	2.16	0.95	56222.15	255.36	25103.66	85814.93	17074.79	23.04	11331.48	1.1535	0.428
26	26	MayberryNE_TuleA_D1	MayberryNE_TuleA_D1	14	Mayberry	Tule	SF_Rest	Oligo	Pond	d1	14	s014_MayberryNE_TuleA_D1	26	3.325753237	0.064245131	85.35424501	3.358740915	0.025074381	32.63104086	0.971525988	0.243604132	6.64	46.55	462.3	33.36	33.36	1.877	0.112	7.45	191.78	2.4	20.72658401	768.1148233	37.0594027	3937.778949	0.038846595	3214.826338	180.8821653	10.79318195	36000	207	22	37	3.33	3.358740915	32.63104086	1276.85	15.034	78.92	1.166	NA	0.918333333	2.98	342.81	216.4	1.17	20.8	1.24	107005.82	1075.49	106436.13	759634.08	22336.15	55.07	3274.7	5.332	0.69
27	27	MayberryNE_TuleA_D2	MayberryNE_TuleA_D2	97	Mayberry	Tule	SF_Rest	Oligo	Pond	d2	97	s097_MayberryNE_TuleA_D2	27	3.325753237	0.08351867	83.42689109	3.358740915	0.017026917	32.63104086	0.971525988	0.165420926	6.89	120.7	1049.9	37.79	32.22	1.892	0.112	2.31	114.8	2.6	23.29280128	870.1156826	37.35556201	2314.677974	0.020121951	4734.2558	237.025985	14.03113653	36000	207	22	37	3.33	3.358740915	32.63104086	1276.85	15.034	78.92	1.166	NA	0.918333333	2.98	342.81	216.4	1.17	20.8	1.24	107005.82	1075.49	106436.13	759634.08	22336.15	55.07	3274.7	5.332	0.69
28	28	MayberryNE_TuleB_D1	MayberryNE_TuleB_D1	15	Mayberry	Tule	SF_Rest	Oligo	Pond	d1	15	s015_MayberryNE_TuleB_D1	28	3.436740106	0.09354091	80.58909189	2.055421289	0.010644142	43.21532629	2.102504558	0.223793575	6.61	60.82	646.2	33.03	34.02	2.284	0.107	5.69	149.55	2.8	16.86469284	796.0547224	47.20244417	3211.696341	0.038047476	4634.484397	320.4711584	15.01331609	25660	244	21	33	3.44	2.055421289	43.21532629	1992.234	26.068	109.2	2.158	NA	0.193666667	2.026	151.26	1.09	0.8	21.68	4.43	143863.58	1660.67	165305.97	996395.73	34178.03	52.9	5318.4	8.246	0.8
29	29	MayberryNE_TuleB_D2	MayberryNE_TuleB_D2	98	Mayberry	Tule	SF_Rest	Oligo	Pond	d2	98	s098_MayberryNE_TuleB_D2	29	3.436740106	0.096239206	80.31926234	2.055421289	0.009411147	43.21532629	2.102504558	0.197869793	6.96	101.56	835.8	36.31	32.92	2.059	0.132	1.45	243.07	9.5	20.56533858	709.366124	34.49328691	4100.672413	0.00596536	5241.668339	297.2347868	19.05536273	25660	244	21	33	3.44	2.055421289	43.21532629	1992.234	26.068	109.2	2.158	NA	0.193666667	2.026	151.26	1.09	0.8	21.68	4.43	143863.58	1660.67	165305.97	996395.73	34178.03	52.9	5318.4	8.246	0.8
30	30	MayberryNE_TuleC_D1	MayberryNE_TuleC_D1	16	Mayberry	Tule	SF_Rest	Oligo	Pond	d1	16	s016_MayberryNE_TuleC_D1	30	3.431605924	0.100956634	81.68309468	3.99420267	0.020302013	223.5979753	5.598062837	1.136519461	6.83	57.2	510.3	31.18	30.34	1.884	0.107	5.87	165.2	2.4	19.30017176	751.4679457	38.93581647	3539.196683	0.035532688	4721.741767	285.3034473	16.20353974	35320	277	21	36	3.43	3.99420267	223.5979753	2169.22	48.862	115	0.226	NA	0.752666667	1.24	91.02	0.65	1.94	23.8	2.27	110855.9	1401.02	172987.87	1083096.2	31768.44	26.32	7443.59	8.982	0.834
31	31	MayberryNE_TuleC_D2	MayberryNE_TuleC_D2	99	Mayberry	Tule	SF_Rest	Oligo	Pond	d2	99	s099_MayberryNE_TuleC_D2	31	3.431605924	0.103709997	81.40775841	3.99420267	0.018543816	223.5979753	5.598062837	1.038094495	7.14	95.24	708.3	33.23	31.08	1.748	0.118	2.5	197.42	2.8	22.16944774	726.2170835	32.75756311	3750.497294	0.012663357	5169.424782	271.9276111	18.3566694	35320	277	21	36	3.43	3.99420267	223.5979753	2169.22	48.862	115	0.226	NA	0.752666667	1.24	91.02	0.65	1.94	23.8	2.27	110855.9	1401.02	172987.87	1083096.2	31768.44	26.32	7443.59	8.982	0.834
32	32	MayberryNE_CattailA_D1	MayberryNE_CattailA_D1	17	Mayberry	Cattail	SF_Rest	Oligo	Pond	d1	17	s017_MayberryNE_CattailA_D1	32	3.1	0.634686824	66.8571541	2.001925557	0.004880765	26.5786859	1.327656056	0.06479977	7.35	61.54	208.1	10.34	13.91	0.888	0.073	0.13	9.84	13.9	13.57917967	365.2715148	26.89938006	302.3339504	0.013211382	9843.992634	845.402849	69.49820718	29540	565	41	59	3.12	2.001925557	26.5786859	1003.358	15.41	88.69	0.998	NA	2.4	1.666	712.9	136.56	0.78	14.99	0.27	125406.03	1136.76	92674.94	514338.59	14340.51	27.99	10297.04	4.148	0.812
33	33	MayberryNE_CattailA_D2	MayberryNE_CattailA_D2	100	Mayberry	Cattail	SF_Rest	Oligo	Pond	d2	100	s100_MayberryNE_CattailA_D2	33	3.1	0.689423675	61.38346897	2.001925557	0.003587666	26.5786859	1.327656056	0.047631858	7.27	57.33	54.7	12.95	13.98	0.928	0.08	0.19	9.92	13.1	16.27375427	417.4436974	25.65134576	279.7536678	0.019153226	13392.05488	959.6777554	82.73084099	29540	565	41	59	3.12	2.001925557	26.5786859	1003.358	15.41	88.69	0.998	NA	2.4	1.666	712.9	136.56	0.78	14.99	0.27	125406.03	1136.76	92674.94	514338.59	14340.51	27.99	10297.04	4.148	0.812
34	34	MayberryNE_CattailB_D1	MayberryNE_CattailB_D1	18	Mayberry	Cattail	SF_Rest	Oligo	Pond	d1	18	s018_MayberryNE_CattailB_D1	34	3.3	0.572919719	67.52713904	1.713242764	0.004027436	17.03466156	0.994293507	0.040044537	7.21	63.16	202.2	11.88	14.53	0.987	0.07	0.56	14.3	4.7	14.03670749	437.6596691	31.17965303	469.9324011	0.039160839	10209.4294	848.2076446	60.15657054	30210	533	41	61	3.32	1.713242764	17.03466156	966.432	22.95	72.63	1.62	NA	1.712333333	1.334	107.3	12.35	0.85	12.38	NA	124111.32	1102.4	85864.31	490642.11	13106.42	18.24	9100.31	4.162	0.7
35	35	MayberryNE_CattailB_D2	MayberryNE_CattailB_D2	101	Mayberry	Cattail	SF_Rest	Oligo	Pond	d2	101	s101_MayberryNE_CattailB_D2	35	3.3	0.640322039	60.78690705	1.713242764	0.003427504	17.03466156	0.994293507	0.034079452	7.29	62.39	53.4	12.49	13.36	0.858	0.077	0.195	13.41	12.8	16.97622459	418.3019029	24.64045528	391.2384045	0.014541387	11996.43341	824.0944646	73.95719554	30210	533	41	61	3.32	1.713242764	17.03466156	966.432	22.95	72.63	1.62	NA	1.712333333	1.334	107.3	12.35	0.85	12.38	NA	124111.32	1102.4	85864.31	490642.11	13106.42	18.24	9100.31	4.162	0.7
36	36	MayberryNE_CattailC_D1	MayberryNE_CattailC_D1	19	Mayberry	Cattail	SF_Rest	Oligo	Pond	d1	19	s019_MayberryNE_CattailC_D1	36	3.3	0.557280619	70.92662424	1.055007089	0.002636218	5.731015721	0.543220589	0.014320481	7.22	67.5	174.3	11.49	13.56	0.938	0.072	0.35	12.49	3.6	14.28509563	411.5339411	28.80862347	394.7727327	0.028022418	9604.731469	784.0938309	60.18630685	29560	449	42	62	3.32	1.055007089	5.731015721	1701.18	34.642	93.27	1.368	NA	1.372	1.444	195.68	55.72	0.83	16.78	0.96	111678.4	1264.88	141977.4	854405.27	27640.86	21.05	8420.45	7.36	0.706
37	37	MayberryNE_CattailC_D2	MayberryNE_CattailC_D2	102	Mayberry	Cattail	SF_Rest	Oligo	Pond	d2	102	s102_MayberryNE_CattailC_D2	37	3.3	0.628207243	63.83396181	1.055007089	0.001961335	5.731015721	0.543220589	0.010654377	6.81	64.55	64.4	13.7	13.82	0.933	0.086	0.2	10.9	15	17.12398683	410.8092775	23.99028227	285.7190176	0.018348624	12909.65885	879.1760369	81.03873438	29560	449	42	62	3.32	1.055007089	5.731015721	1701.18	34.642	93.27	1.368	NA	1.372	1.444	195.68	55.72	0.83	16.78	0.96	111678.4	1264.88	141977.4	854405.27	27640.86	21.05	8420.45	7.36	0.706
38	38	MayberrySE_TuleA_D1	MayberrySE_TuleA_D1	20	Mayberry	Tule	SF_Rest	Oligo	Pond	d1	20	s020_MayberrySE_TuleA_D1	38	1.415937623	0.530628068	68.08515389	11.97962133	0.028465003	1271.185986	10.61123679	3.020488862	7.23	43.32	223.3	12.69	14.74	0.983	0.078	0.275	10.82	5.8	15.05476795	419.5513728	27.86833872	314.9679487	0.025415896	10100.50527	782.4110858	62.08348392	30230	395	48	65	1.42	11.97962133	1271.185986	1182.756	36.954	49.05	1.636	NA	1.036333333	1.206	192.86	815.47	1.52	14.38	1.67	163942.64	1556.4	106259.77	567078.07	NA	24.63	10326.12	4.776	0.328
