	EWsiteHyd_index	Sample	MG_name	Index	Location	Pl_Sp	EWcoastGroup	SALTgroup	LU	Depth	EW.no	iTag_name.x	Site_indx	Salinity.x	Bulk_dens	H2O_FPS	CO2_mg_m2_h	CH4_ug_m2_h	CH4_CO2	pH	Cl	SO4	C	N	P	NO3_N	NH4_N	Olsen_P	CN	CP	NP	NP_ext	NO3_NH4	Fe	Mn	Cu	Zn	Cl_pw	SO4_pw	DOC_mg_L	Na_pw	K_pw	Ca_pw	Mn_pw	Mg_pw	Fe_pw	Cu_pw	Zn_pw
11	11	Sandmound_ThreeSqB_D2	Sandmound_ThreeSqB_D2	89.0	Sandmound	ThreeSq	SF_Ref	FW	Ref	d2	89.0	s089_Sandmound_ThreeSqB_D2	11	0.584762462	0.2490875494062306	83.39017958382506	2.6443916130000003	0.661727234	0.025023798697095624	5.94	18.52	58.8	16.23	1.021	0.095	0.68	29.48	8.6	18.674886740696643	443.8255283533954	23.76590201140031	702.7847880570993	0.02306648575305292	25290.0	581.0	68.0	88.0	218.6595	2.356	11.7	103955.03	NA	48449.61	576.19	21267.82	2565.08	1.42	NA
12	12	Sandmound_ThreeSqC_D1	Sandmound_ThreeSqC_D1	7.0	Sandmound	ThreeSq	SF_Ref	FW	Ref	d1	7.0	s007_Sandmound_ThreeSqC_D1	12	0.631436206	0.22100324943633134	80.69188409652098	5.028706753	-0.341332784	-0.006787685199507199	6.44	13.76	56.3	16.62	1.079	0.092	0.33	49.32	16.3	17.8223583895794	462.2223650059909	25.934971955016284	1194.664740611061	0.006690997566909976	NA	NA	NA	NA	418.5935	15.828	11.45	181577.27	NA	56285.76	385.36	33854.91	271.27	3.45	NA
13	13	Sandmound_ThreeSqC_D2	Sandmound_ThreeSqC_D2	90.0	Sandmound	ThreeSq	SF_Ref	FW	Ref	d2	90.0	s090_Sandmound_ThreeSqC_D2	13	0.631436206	0.2528688342387791	77.50532561627621	5.028706753	-0.341332784	-0.006787685199507199	6.11	13.12	54.8	15.95	1.02	0.098	0.68	47.43	12.4	19.390617424223876	446.29076407850624	23.015809879316897	1086.735619070931	0.014336917562724016	25180.0	1164.0	64.0	86.0	418.5935	15.828	11.45	181577.27	NA	56285.76	385.36	33854.91	271.27	3.45	NA
14	14	WestPond_TuleA_D1	WestPond_TuleA_D1	8.0	WestPond	Tule	SF_Rest	FW	West	d1	8.0	s008_WestPond_TuleA_D1	14	0.358055401	0.05644393621401322	69.61418799728294	24.35567428	282.2282567	1.1587782520632395	6.3	3.25	32.2	43.4	1.693	0.09	2.72	225.21	14.5	34.11751031725545	1419.2011211944607	41.597440962058656	5606.264732713009	0.01207761644687181	NA	NA	NA	NA	160.541	7.9715	10.65	67222.29	1141.02	45960.11	0.9	20835.52	80.48	0.89	NA
15	15	WestPond_TuleA_D2	WestPond_TuleA_D2	91.0	WestPond	Tule	SF_Rest	FW	West	d2	91.0	s091_WestPond_TuleA_D2	15	0.358055401	0.07375340998631053	67.88324062005321	24.35567428	282.2282567	1.1587782520632395	5.78	9.41	42.6	34.88	1.5330000000000001	0.11900000000000001	2.14	67.11	8.5	28.998577787712858	826.083708981053	28.487042193189122	1288.212286413816	0.03188794516465505	13180.0	136.0	40.0	48.0	160.541	7.9715	10.65	67222.29	1141.02	45960.11	0.9	20835.52	80.48	0.89	NA
16	16	WestPond_TuleB_D1	WestPond_TuleB_D1	9.0	WestPond	Tule	SF_Rest	FW	West	d1	9.0	s009_WestPond_TuleB_D1	16	0.380244176	0.06299693954032293	65.28773734178932	9.77780885	31.71546917	0.32436172210505015	6.3	5.36	46.6	38.44	2.059	0.113	4.97	115.64	6.9	24.190184818845633	974.6961597886303	40.29304311181957	2362.7593725261263	0.04297820823244552	NA	NA	NA	NA	115.5075	12.154000000000002	10.24	57146.0	5081.79	37792.07	50.3	15183.38	49.43	0.5	NA
17	17	WestPond_TuleB_D2	WestPond_TuleB_D2	92.0	WestPond	Tule	SF_Rest	FW	West	d2	92.0	s092_WestPond_TuleB_D2	17	0.380244176	0.08232554599019483	63.35487669680213	9.77780885	31.71546917	0.32436172210505015	5.8	7.56	63.3	32.85	1.5919999999999999	0.107	2.9	75.99	5.7	25.52119727770482	839.6774607699953	32.901178249326605	1632.1226769792675	0.03816291617318068	15880.0	139.0	38.0	46.0	115.5075	12.154000000000002	10.24	57146.0	5081.79	37792.07	50.3	15183.38	49.43	0.5	NA
18	18	WestPond_TuleC_D1	WestPond_TuleC_D1	10.0	WestPond	Tule	SF_Rest	FW	West	d1	10.0	s010_WestPond_TuleC_D1	18	0.374460255	0.07419394802505402	78.85263778476681	4.630644423	1.026137308	0.0221597085473302	6.34	5.55	42.9	40.59	2.1590000000000003	0.12	1.94	130.39	9.8	24.484939677612953	974.1427441511948	39.78538468860808	2441.134379238952	0.014878441598282078	NA	NA	NA	NA	187.8235	28.0435	15.72	87546.9	4173.92	40939.41	0.66	20383.92	47.02	20.36	15.68
19	19	WestPond_TuleC_D2	WestPond_TuleC_D2	93.0	WestPond	Tule	SF_Rest	FW	West	d2	93.0	s093_WestPond_TuleC_D2	19	0.374460255	0.0647040244404541	79.8016301432268	4.630644423	1.026137308	0.0221597085473302	5.97	9.37	59.3	40.03	1.719	0.11199999999999999	2.88	101.27	9.4	30.44010558674908	1033.1328573807343	33.93985787718386	2058.5237037093702	0.028438826898390442	9930.0	85.0	33.0	38.0	187.8235	28.0435	15.72	87546.9	4173.92	40939.41	0.66	20383.92	47.02	20.36	15.68
20	20	WestPond_CattailA_D1	WestPond_CattailA_D1	11.0	WestPond	Cattail	SF_Rest	FW	West	d1	11.0	s011_WestPond_CattailA_D1	20	0.417574716	0.07021074992474811	75.57980727193475	14.80868675	135.0238335	0.911788032115677	6.39	6.85	55.3	37.63	2.048	0.17300000000000001	1.97	126.86	18.2	23.62541490287549	618.4654721611163	26.177972945814457	1648.4869910214177	0.01552892952861422	NA	NA	NA	NA	3448.3720000000003	346.17	32.15	1855692.54	49657.4	85518.77	104.2	225966.52	70.28	32.81	29.95
21	21	WestPond_CattailA_D2	WestPond_CattailA_D2	94.0	WestPond	Cattail	SF_Rest	FW	West	d2	94.0	s094_WestPond_CattailA_D2	21	0.417574716	0.08838294402291831	73.76258786211774	14.80868675	135.0238335	0.911788032115677	5.78	10.09	57.9	33.22	1.58	0.1	2.07	158.34	6.8	25.74455272540256	899.486404129548	34.93890197758264	3550.9622831441425	0.013073133762788933	17180.0	139.0	47.0	67.0	3448.3720000000003	346.17	32.15	1855692.54	49657.4	85518.77	104.2	225966.52	70.28	32.81	29.95
22	22	WestPond_CattailB_D1	WestPond_CattailB_D1	12.0	WestPond	Cattail	SF_Rest	FW	West	d1	12.0	s012_WestPond_CattailB_D1	22	0.42313700200000004	0.06156519091440655	72.77321285010625	18.0642218	26.73814724	0.1480171553252297	6.33	6.9	57.6	40.89	2.002	0.11699999999999999	2.71	235.67	10.1	25.52550022619126	965.8387788401943	37.83819201510356	4510.228805011415	0.011499130139601986	NA	NA	NA	NA	242.1595	24.5155	9.884	106264.99	1909.2	51091.96	27.53	26250.82	51.92	2.69	68.56
23	23	WestPond_CattailB_D2	WestPond_CattailB_D2	95.0	WestPond	Cattail	SF_Rest	FW	West	d2	95.0	s095_WestPond_CattailB_D2	23	0.42313700200000004	0.05604010967849817	73.32572097369709	18.0642218	26.73814724	0.1480171553252297	5.93	10.23	59.3	39.36	1.7309999999999999	0.10800000000000001	NA	79.34	4.4	29.461060174908994	1044.1763414400996	35.4425921959655	NA	NA	13270.0	99.0	54.0	42.0	242.1595	24.5155	9.884	106264.99	1909.2	51091.96	27.53	26250.82	51.92	2.69	68.56
24	24	WestPond_CattailC_D1	NA	13.0	WestPond	Cattail	SF_Rest	FW	West	d1	13.0	s013_WestPond_CattailC_D1	24	0.36659283	0.06925625084080385	83.01755782605447	17.81102623	102.6551443	0.5763572686625593	6.34	6.85	58.1	40.25	2.044	0.11900000000000001	2.86	163.21	14.2	24.28783033360972	922.5179299927447	37.98272292425215	3089.291182739963	0.01752343606396667	NA	NA	NA	NA	199.86900000000003	10.39	10.44	85814.93	17074.79	56222.15	0.74	25103.66	53.7	2.16	0.95
25	25	WestPond_CattailC_D2	WestPond_CattailC_D2	96.0	WestPond	Cattail	SF_Rest	FW	West	d2	96.0	s096_WestPond_CattailC_D2	25	0.36659283	0.11872500144137806	78.07068276599706	17.81102623	102.6551443	0.5763572686625593	5.62	12.98	62.8	28.94	1.421	0.095	0.73	98.05	11.6	24.029401619943624	794.8141571980071	33.07673531655225	2301.759992184359	0.0074451810300866905	17860.0	158.0	50.0	60.0	199.86900000000003	10.39	10.44	85814.93	17074.79	56222.15	0.74	25103.66	53.7	2.16	0.95
26	26	MayberryNE_TuleA_D1	MayberryNE_TuleA_D1	14.0	Mayberry	Tule	SF_Rest	Oligo	Pond	d1	14.0	s014_MayberryNE_TuleA_D1	26	3.325753237	0.06424513065009634	85.35424500655655	3.358740915	32.63104086	0.9715259880353111	6.64	46.55	462.3	33.36	1.8769999999999998	0.11199999999999999	7.45	191.78	2.4	20.726584009055458	768.1148233167218	37.05940269661088	3937.7789485359367	0.03884659505683596	NA	NA	NA	NA	1276.85	15.034	78.92	759634.08	22336.15	107005.82	216.4	106436.13	342.81	20.8	1.24
27	27	MayberryNE_TuleA_D2	MayberryNE_TuleA_D2	97.0	Mayberry	Tule	SF_Rest	Oligo	Pond	d2	97.0	s097_MayberryNE_TuleA_D2	27	3.325753237	0.08351866984512524	83.42689108705366	3.358740915	32.63104086	0.9715259880353111	6.89	120.7	1049.9	32.22	1.892	0.11199999999999999	2.31	114.8	2.6	23.292801278179994	870.115682648049	37.355562014910916	2314.6779735132436	0.020121951219512196	36000.0	207.0	22.0	37.0	1276.85	15.034	78.92	759634.08	22336.15	107005.82	216.4	106436.13	342.81	20.8	1.24
28	28	MayberryNE_TuleB_D1	MayberryNE_TuleB_D1	15.0	Mayberry	Tule	SF_Rest	Oligo	Pond	d1	15.0	s015_MayberryNE_TuleB_D1	28	3.4367401060000002	0.09354091022654028	80.58909188748083	2.055421289	43.21532629	2.1025045581300295	6.61	60.82	646.2	34.02	2.2840000000000003	0.107	5.69	149.55	2.8	16.864692843585733	796.0547224234483	47.2024441717726	3211.6963414154075	0.03804747576061518	NA	NA	NA	NA	1992.234	26.068	109.2	996395.73	34178.03	143863.58	1.09	165305.97	151.26	21.68	4.43
29	29	MayberryNE_TuleB_D2	MayberryNE_TuleB_D2	98.0	Mayberry	Tule	SF_Rest	Oligo	Pond	d2	98.0	s098_MayberryNE_TuleB_D2	29	3.4367401060000002	0.09623920571384424	80.31926233875043	2.055421289	43.21532629	2.1025045581300295	6.96	101.56	835.8	32.92	2.059	0.132	1.45	243.07	9.5	20.56533858047963	709.3661239823091	34.49328690633038	4100.672412711392	0.005965359772904925	25660.0	244.0	21.0	33.0	1992.234	26.068	109.2	996395.73	34178.03	143863.58	1.09	165305.97	151.26	21.68	4.43
30	30	MayberryNE_TuleC_D1	MayberryNE_TuleC_D1	16.0	Mayberry	Tule	SF_Rest	Oligo	Pond	d1	16.0	s016_MayberryNE_TuleC_D1	30	3.431605924	0.10095663387872279	81.6830946836939	3.99420267	223.5979753	5.598062836906571	6.83	57.2	510.3	30.34	1.8840000000000001	0.107	5.87	165.2	2.4	19.300171763993408	751.4679456604032	38.935816470936764	3539.1966833672614	0.035532687651331725	NA	NA	NA	NA	2169.22	48.861999999999995	115.0	1083096.2	31768.44	110855.9	0.65	172987.87	91.02	23.8	2.27
31	31	MayberryNE_TuleC_D2	MayberryNE_TuleC_D2	99.0	Mayberry	Tule	SF_Rest	Oligo	Pond	d2	99.0	s099_MayberryNE_TuleC_D2	31	3.431605924	0.10370999662086985	81.4077584094792	3.99420267	223.5979753	5.598062836906571	7.14	95.24	708.3	31.08	1.7480000000000002	0.11800000000000001	2.5	197.42	2.8	22.169447743077612	726.2170834926741	32.757563107066325	3750.497293726018	0.01266335730928984	35320.0	277.0	21.0	36.0	2169.22	48.861999999999995	115.0	1083096.2	31768.44	110855.9	0.65	172987.87	91.02	23.8	2.27
32	32	MayberryNE_CattailA_D1	MayberryNE_CattailA_D1	17.0	Mayberry	Cattail	SF_Rest	Oligo	Pond	d1	17.0	s017_MayberryNE_CattailA_D1	32	3.1	0.6346868235681088	66.85715410481309	2.001925557	26.5786859	1.327656056293606	7.35	61.54	208.1	13.91	0.888	0.073	0.13	9.84	13.9	13.579179670887275	365.2715148100543	26.899380055569086	302.333950441609	0.013211382113821139	NA	NA	NA	NA	1003.3580000000001	15.41	88.69	514338.59	14340.51	125406.03	136.56	92674.94	712.9	14.99	0.27
33	33	MayberryNE_CattailA_D2	MayberryNE_CattailA_D2	100.0	Mayberry	Cattail	SF_Rest	Oligo	Pond	d2	100.0	s100_MayberryNE_CattailA_D2	33	3.1	0.6894236748819907	61.38346897342489	2.001925557	26.5786859	1.327656056293606	7.27	57.33	54.7	13.98	0.9279999999999999	0.08	0.19	9.92	13.1	16.27375426692199	417.4436974440097	25.651345755693576	279.7536678089527	0.019153225806451613	29540.0	565.0	41.0	59.0	1003.3580000000001	15.41	88.69	514338.59	14340.51	125406.03	136.56	92674.94	712.9	14.99	0.27
34	34	MayberryNE_CattailB_D1	MayberryNE_CattailB_D1	18.0	Mayberry	Cattail	SF_Rest	Oligo	Pond	d1	18.0	s018_MayberryNE_CattailB_D1	34	3.3	0.5729197193859448	67.52713903873553	1.713242764	17.03466156	0.9942935069066486	7.21	63.16	202.2	14.53	0.987	0.07	0.56	14.3	4.7	14.036707486222738	437.65966911283704	31.179653030627538	469.9324011463656	0.039160839160839164	NA	NA	NA	NA	966.432	22.95	72.63	490642.11	13106.42	124111.32	12.35	85864.31	107.3	12.38	NA
35	35	MayberryNE_CattailB_D2	MayberryNE_CattailB_D2	101.0	Mayberry	Cattail	SF_Rest	Oligo	Pond	d2	101.0	s101_MayberryNE_CattailB_D2	35	3.3	0.6403220393137028	60.78690704595972	1.713242764	17.03466156	0.9942935069066486	7.29	62.39	53.4	13.36	0.858	0.077	NA	13.41	12.8	16.976224591327416	418.30190290934615	24.640455282562804	NA	NA	30210.0	533.0	41.0	61.0	966.432	22.95	72.63	490642.11	13106.42	124111.32	12.35	85864.31	107.3	12.38	NA
36	36	MayberryNE_CattailC_D1	MayberryNE_CattailC_D1	19.0	Mayberry	Cattail	SF_Rest	Oligo	Pond	d1	19.0	s019_MayberryNE_CattailC_D1	36	3.3	0.5572806190105499	70.92662423770633	1.055007089	5.731015721	0.5432205888239297	7.22	67.5	174.3	13.56	0.938	0.07200000000000001	0.35	12.49	3.6	14.285095627515576	411.5339411095385	28.80862346604475	394.77273268127834	0.028022417934347475	NA	NA	NA	NA	1701.18	34.641999999999996	93.27	854405.27	27640.86	111678.4	55.72	141977.4	195.68	16.78	0.96
37	37	MayberryNE_CattailC_D2	MayberryNE_CattailC_D2	102.0	Mayberry	Cattail	SF_Rest	Oligo	Pond	d2	102.0	s102_MayberryNE_CattailC_D2	37	3.3	0.6282072432482563	63.8339618139357	1.055007089	5.731015721	0.5432205888239297	6.81	64.55	64.4	13.82	0.9329999999999999	0.086	0.2	10.9	15.0	17.123986827723034	410.8092775420981	23.990282267504124	285.7190175676282	0.01834862385321101	29560.0	449.0	42.0	62.0	1701.18	34.641999999999996	93.27	854405.27	27640.86	111678.4	55.72	141977.4	195.68	16.78	0.96
38	38	MayberrySE_TuleA_D1	MayberrySE_TuleA_D1	20.0	Mayberry	Tule	SF_Rest	Oligo	Pond	d1	20.0	s020_MayberrySE_TuleA_D1	38	1.415937623	0.530628067666567	68.08515388781066	11.97962133	1271.185986	10.611236791071423	7.23	43.32	223.3	14.74	0.983	0.078	NA	10.82	5.8	15.054767954739354	419.5513727800798	27.868338724410687	NA	NA	NA	NA	NA	NA	1182.756	36.954	49.05	567078.07	NA	163942.64	815.47	106259.77	192.86	14.38	1.67
39	39	MayberrySE_TuleA_D2	NA	103.0	Mayberry	Tule	SF_Rest	Oligo	Pond	d2	103.0	s103_MayberrySE_TuleA_D2	39	1.415937623	0.6069512828788814	60.452832366579216	11.97962133	1271.185986	10.611236791071423	7.37	43.25	53.3	13.36	0.902	0.077	0.47	41.69	14.5	16.173973746534266	418.9717218091209	25.904068373976276	1212.0610566701805	0.01127368673542816	30230.0	395.0	48.0	65.0	1182.756	36.954	49.05	567078.07	NA	163942.64	815.47	106259.77	192.86	14.38	1.67
40	40	MayberrySE_TuleB_D1	NA	21.0	Mayberry	Tule	SF_Rest	Oligo	Pond	d1	21.0	s021_MayberrySE_TuleB_D1	40	2.578450297	0.695939966705072	60.73183979111677	5.380324547000001	216.8001784	4.029500014471895	7.25	63.52	233.5	15.0	0.9690000000000001	0.07400000000000001	0.26	21.69	10.0	13.948439420727077	403.8962707608116	28.95637702384329	656.6250176070266	0.011987090825265098	NA	NA	NA	NA	916.6060000000001	20.146	39.31	426299.48	4972.93	98718.77	420.38	74038.52	168.38	6.2	NA
41	41	MayberrySE_TuleB_D2	NA	104.0	Mayberry	Tule	SF_Rest	Oligo	Pond	d2	104.0	s104_MayberrySE_TuleB_D2	41	2.578450297	0.7624061433005002	54.08522213157395	5.380324547000001	216.8001784	4.029500014471895	7.61	45.6	49.3	12.47	0.826	0.075	0.3	27.2	22.0	16.716202238343666	407.1069963644437	24.354036315175744	811.6822541110398	0.011029411764705883	28780.0	490.0	54.0	61.0	916.6060000000001	20.146	39.31	426299.48	4972.93	98718.77	420.38	74038.52	168.38	6.2	NA
42	42	MayberrySE_TuleC_D1	NA	22.0	Mayberry	Tule	SF_Rest	Oligo	Pond	d1	22.0	s022_MayberrySE_TuleC_D1	42	2.473956295	0.5016259801159522	67.3142123200095	5.751284557999999	141.648857	2.462908165497869	7.0	74.54	443.9	15.28	1.084	0.076	0.29	21.75	7.2	14.125421162212623	445.52210911927233	31.540447821202186	641.9668737060042	0.013333333333333332	NA	NA	NA	NA	755.51	0.531	70.43	372911.34	3158.56	110095.06	575.75	63993.07	502.3	5.55	NA
43	43	MayberrySE_TuleC_D2	NA	105.0	Mayberry	Tule	SF_Rest	Oligo	Pond	d2	105.0	s105_MayberrySE_TuleC_D2	43	2.473956295	0.6519962973404062	52.2771805975641	5.751284557999999	141.648857	2.462908165497869	7.35	47.04	85.5	12.93	0.863	0.079	0.29	24.96	22.1	16.56706728758584	400.2040745350517	24.156603434268398	707.5366024040421	0.011618589743589742	29780.0	471.0	45.0	62.0	755.51	0.531	70.43	372911.34	3158.56	110095.06	575.75	63993.07	502.3	5.55	NA
44	44	MayberrySE_CattailA_D1	MayberrySE_CattailA_D1	23.0	Mayberry	Cattail	SF_Rest	Oligo	Pond	d1	23.0	s023_MayberrySE_CattailA_D1	44	1.958439419	0.48165492235957935	69.31131809564678	1.6097944530000001	16.11249201	1.0009036855589164	6.88	36.69	349.7	16.95	1.219	0.077	0.39	27.21	8.6	14.713588016016766	515.090733926801	35.00782632802338	793.4745057897769	0.014332965821389196	NA	NA	NA	NA	670.0219999999999	138.55	17.59	331733.17	732.95	73850.47	259.67	51682.37	359.11	5.94	9.46
45	45	MayberrySE_CattailA_D2	MayberrySE_CattailA_D2	106.0	Mayberry	Cattail	SF_Rest	Oligo	Pond	d2	106.0	s106_MayberrySE_CattailA_D2	45	1.958439419	0.6132289499309768	56.15391533850704	1.6097944530000001	16.11249201	1.0009036855589164	7.44	21.4	45.1	14.78	0.9640000000000001	0.083	NA	21.09	22.8	16.307178309233134	418.8224248254362	25.68331668933176	NA	NA	27920.0	571.0	40.0	53.0	670.0219999999999	138.55	17.59	331733.17	732.95	73850.47	259.67	51682.37	359.11	5.94	9.46
46	46	MayberrySE_CattailB_D1	MayberrySE_CattailB_D1	24.0	Mayberry	Cattail	SF_Rest	Oligo	Pond	d1	24.0	s024_MayberrySE_CattailB_D1	46	1.519552185	0.49457737149605585	68.01907318199913	6.194815731	599.8095971	9.682444533393337	6.52	23.91	487.8	17.78	1.2819999999999998	0.07200000000000001	0.29	29.42	9.0	13.954147076048727	549.4282555805327	39.373832924807424	913.4499912742041	0.009857239972807613	NA	NA	NA	NA	1112.359	106.7045	43.49	558319.95	2159.6	107328.02	426.6	78058.07	387.74	8.56	2.23
47	47	MayberrySE_CattailB_D2	NA	107.0	Mayberry	Cattail	SF_Rest	Oligo	Pond	d2	107.0	s107_MayberrySE_CattailB_D2	47	1.519552185	0.6343747757906655	54.03933275253817	6.194815731	599.8095971	9.682444533393337	6.99	18.52	55.8	14.27	0.9690000000000001	0.083	0.17	21.05	22.1	16.93309254957981	437.15367338975426	25.816528912824143	565.9550087262737	0.008076009501187649	27840.0	426.0	45.0	59.0	1112.359	106.7045	43.49	558319.95	2159.6	107328.02	426.6	78058.07	387.74	8.56	2.23
48	48	MayberrySE_CattailC_D1	NA	25.0	Mayberry	Cattail	SF_Rest	Oligo	Pond	d1	25.0	s025_MayberrySE_CattailC_D1	48	1.500152135	0.47348661289120997	75.6348745267777	1.4223566280000002	8.938580171	0.6284345286574641	6.9	47.46	406.7	17.45	1.25	0.08	0.17	18.52	6.4	14.180760969111647	489.97252518524687	34.55192046833726	517.1707271364319	0.0091792656587473	NA	NA	NA	NA	772.078	166.938	30.81	376886.33	5562.82	93819.99	124.81	66109.26	184.94	6.79	5.66
