Domain	Phylum	Class	Order	Family	Genus	Phylum_r	Class_r	Order_r	Family_r	Genus_r
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	Knoellia	0.35	0.38	0.02	-0.19	-0.15
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Agromyces	0.35	0.38	0.02	0.44	0.37
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Galbitalea	0.35	0.38	0.02	0.44	0.2
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	0.35	0.38	0.02	0.43	0.43
Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Catellatospora	0.35	0.38	0.3	0.3	0.54
Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Luedemannella	0.35	0.38	0.3	0.3	0.26
Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Micromonospora	0.35	0.38	0.3	0.3	0.19
Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	MicromonosporaceaeFA	0.35	0.38	0.3	0.3	0.14
Bacteria	Actinobacteriota	Actinobacteria	Nitriliruptorales	Nitriliruptoraceae	NitriliruptoraceaeFA	0.35	0.38	0.27	0.27	0.27
Bacteria	Actinobacteriota	Actinobacteria	PeM15	PeM15OR	PeM15OR	0.35	0.38	-0.09	-0.09	-0.09
Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Marmoricola	0.35	0.38	0.31	0.31	0.3
Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	NocardioidaceaeFA	0.35	0.38	0.31	0.31	0.3
Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	0.35	0.38	0.31	0.31	0.3
Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	PropionibacterialesOR	PropionibacterialesOR	0.35	0.38	0.31	0.34	0.34
Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Amycolatopsis	0.35	0.38	0.46	0.46	0.45
Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	0.35	0.38	0.46	0.46	0.27
Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharopolyspora	0.35	0.38	0.46	0.46	0.51
Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptacidiphilus	0.35	0.38	0.46	0.46	0.35
Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	0.35	0.38	0.46	0.46	0.46
Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Streptosporangiaceae	Nonomuraea	0.35	0.38	0.22	0.47	0.47
Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Actinoallomurus	0.35	0.38	0.22	-0.01	0
Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Thermomonosporaceae	ThermomonosporaceaeFA	0.35	0.38	0.22	-0.01	-0.03
Bacteria	Actinobacteriota	Coriobacteriia	CG2-30-50-142	CG2-30-50-142OR	CG2-30-50-142OR	0.35	0.58	0.26	0.26	0.26
Bacteria	Actinobacteriota	Coriobacteriia	FS118-23B-02	FS118-23B-02OR	FS118-23B-02OR	0.35	0.58	0.15	0.15	0.15
Bacteria	Actinobacteriota	Coriobacteriia	OPB41	OPB41OR	OPB41OR	0.35	0.58	0.59	0.59	0.59
Bacteria	Actinobacteriota	MB-A2-108	MB-A2-108CL	MB-A2-108CL	MB-A2-108CL	0.35	0.17	0.17	0.17	0.17
Bacteria	Actinobacteriota	RBG-16-55-12	RBG-16-55-12CL	RBG-16-55-12CL	RBG-16-55-12CL	0.35	0.29	0.29	0.29	0.29
Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	0.35	0.35	0.39	0.29	0.29
Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	GaiellalesOR	GaiellalesOR	0.35	0.35	0.39	0.48	0.48
Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	67-14FA	0.35	0.35	0.17	0.11	0.11
Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter	0.35	0.35	0.17	0.51	0.17
Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	JCM 18997	0.35	0.35	0.17	0.51	0.15
Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Parviterribacter	0.35	0.35	0.17	0.51	0.19
Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	0.35	0.35	0.17	0.51	0.48
Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	SolirubrobacteraceaeFA	0.35	0.35	0.17	0.51	0.14
Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	SolirubrobacteralesOR	SolirubrobacteralesOR	0.35	0.35	0.17	0.12	0.12
Bacteria	Actinobacteriota	Thermoleophilia	ThermoleophiliaCL	ThermoleophiliaCL	ThermoleophiliaCL	0.35	0.35	0.42	0.42	0.42
Bacteria	Actinobacteriota	WCHB1-81	WCHB1-81CL	WCHB1-81CL	WCHB1-81CL	0.35	0.09	0.09	0.09	0.09
Bacteria	Armatimonadota	Chthonomonadetes	Chthonomonadales	ChthonomonadalesOR	ChthonomonadalesOR	0.35	0.61	0.61	0.61	0.61
Bacteria	Armatimonadota	DG-56	DG-56CL	DG-56CL	DG-56CL	0.35	0.09	0.09	0.09	0.09
Bacteria	Armatimonadota	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	FimbriimonadaceaeFA	0.35	-0.15	-0.15	-0.11	-0.11
Bacteria	Armatimonadota	Fimbriimonadia	Fimbriimonadales	FimbriimonadalesOR	FimbriimonadalesOR	0.35	-0.15	-0.15	-0.28	-0.28
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	0.01	0.03	0.39	0.2	0.2
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidales UCG-001	Bacteroidales UCG-001FA	0.01	0.03	0.39	0.14	0.14
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	BacteroidalesOR	BacteroidalesOR	0.01	0.03	0.39	-0.04	-0.04
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidetes BD2-2	Bacteroidetes BD2-2FA	0.01	0.03	0.39	-0.2	-0.2
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidetes vadinHA17	Bacteroidetes vadinHA17FA	0.01	0.03	0.39	0.6	0.6
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	BarnesiellaceaeFA	0.01	0.03	0.39	0.08	0.08
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	DysgonomonadaceaeFA	0.01	0.03	0.39	0.12	0.12
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	M2PB4-65 termite group	M2PB4-65 termite groupFA	0.01	0.03	0.39	0.19	0.19
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	[Cytophaga] xylanolytica group	0.01	0.03	0.39	0.2	0.2
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	Paludibacter	0.01	0.03	0.39	0.38	0.06
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	PaludibacteraceaeFA	0.01	0.03	0.39	0.38	0.39
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	BSV13	0.01	0.03	0.39	-0.1	0.41
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Draconibacterium	0.01	0.03	0.39	-0.1	-0.27
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Meniscus	0.01	0.03	0.39	-0.1	0.21
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Prolixibacter	0.01	0.03	0.39	-0.1	-0.06
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	ProlixibacteraceaeFA	0.01	0.03	0.39	-0.1	-0.07
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Roseimarinus	0.01	0.03	0.39	-0.1	0.2
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Sunxiuqinia	0.01	0.03	0.39	-0.1	-0.15
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	WCHB1-32	0.01	0.03	0.39	-0.1	0.13
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	DMER64	0.01	0.03	0.39	0.17	0.15
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 gut group	0.01	0.03	0.39	0.17	0.14
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	SB-5	SB-5FA	0.01	0.03	0.39	0.49	0.49
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Cand. Vestibaculum	0.01	0.03	0.39	0.21	0.13
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Macellibacteroides	0.01	0.03	0.39	0.21	0.41
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Williamwhitmaniaceae	Blvii28 wastewater-sludge group	0.01	0.03	0.39	0.17	0.17
Bacteria	Bacteroidota	Bacteroidia	Bacteroidetes VC2.1 Bac22	Bacteroidetes VC2.1 Bac22OR	Bacteroidetes VC2.1 Bac22OR	0.01	0.03	-0.15	-0.15	-0.15
Bacteria	Bacteroidota	Bacteroidia	BacteroidiaCL	BacteroidiaCL	BacteroidiaCL	0.01	0.03	0.08	0.08	0.08
Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	37-13	37-13FA	0.01	0.03	-0.26	-0.13	-0.13
Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Aurantisolimonas	0.01	0.03	-0.26	-0.1	-0.11
Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	ChitinophagaceaeFA	0.01	0.03	-0.26	-0.1	-0.17
Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Dinghuibacter	0.01	0.03	-0.26	-0.1	-0.16
Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Edaphobaculum	0.01	0.03	-0.26	-0.1	0.12
Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	0.01	0.03	-0.26	-0.1	0.03
Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavihumibacter	0.01	0.03	-0.26	-0.1	0.06
Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Lacibacter	0.01	0.03	-0.26	-0.1	0.06
Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Puia	0.01	0.03	-0.26	-0.1	0.15
Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Sediminibacterium	0.01	0.03	-0.26	-0.1	0.08
Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Terrimonas	0.01	0.03	-0.26	-0.1	-0.1
Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	UTBCD1	0.01	0.03	-0.26	-0.1	-0.32
Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	ChitinophagalesOR	ChitinophagalesOR	0.01	0.03	-0.26	-0.1	-0.1
Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Lewinella	0.01	0.03	-0.26	-0.36	-0.24
Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Phaeodactylibacter	0.01	0.03	-0.26	-0.36	-0.26
Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Portibacter	0.01	0.03	-0.26	-0.36	-0.09
Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	SaprospiraceaeFA	0.01	0.03	-0.26	-0.36	-0.32
Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Amoebophilaceae	AmoebophilaceaeFA	0.01	0.03	-0.47	-0.21	-0.13
Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Amoebophilaceae	Cand. Amoebophilus	0.01	0.03	-0.47	-0.21	-0.19
Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Algoriphagus	0.01	0.03	-0.47	-0.4	-0.19
Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	CyclobacteriaceaeFA	0.01	0.03	-0.47	-0.4	-0.4
Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Fulvivirga	0.01	0.03	-0.47	-0.4	-0.14
Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Flammeovirgaceae	Luteivirga	0.01	0.03	-0.47	0.05	0.05
Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	Chryseolinea	0.01	0.03	-0.47	-0.22	-0.07
Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	Hassallia	0.01	0.03	-0.47	-0.22	-0.05
Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	MicroscillaceaeFA	0.01	0.03	-0.47	-0.22	-0.27
Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	Ohtaekwangia	0.01	0.03	-0.47	-0.22	-0.25
Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	OLB12	0.01	0.03	-0.47	-0.22	-0.08
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	CrocinitomicaceaeFA	0.01	0.03	-0.33	-0.17	-0.17
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Fluviicola	0.01	0.03	-0.33	-0.17	0
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	CryomorphaceaeFA	0.01	0.03	-0.33	-0.13	-0.13
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Actibacter	0.01	0.03	-0.33	-0.35	-0.21
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Arenibacter	0.01	0.03	-0.33	-0.35	-0.07
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Confluentibacter	0.01	0.03	-0.33	-0.35	0.01
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Euzebyella	0.01	0.03	-0.33	-0.35	-0.18
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	FlavobacteriaceaeFA	0.01	0.03	-0.33	-0.35	-0.25
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	0.01	0.03	-0.33	-0.35	-0.13
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Gaetbulibacter	0.01	0.03	-0.33	-0.35	-0.21
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Gramella	0.01	0.03	-0.33	-0.35	-0.13
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Hoppeia	0.01	0.03	-0.33	-0.35	-0.38
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Lutibacter	0.01	0.03	-0.33	-0.35	-0.13
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Maribacter	0.01	0.03	-0.33	-0.35	-0.16
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Pseudozobellia	0.01	0.03	-0.33	-0.35	-0.15
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Robiginitalea	0.01	0.03	-0.33	-0.35	-0.24
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Salinimicrobium	0.01	0.03	-0.33	-0.35	0.16
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Ulvibacter	0.01	0.03	-0.33	-0.35	-0.22
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zeaxanthinibacter	0.01	0.03	-0.33	-0.35	-0.13
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	FlavobacterialesOR	FlavobacterialesOR	0.01	0.03	-0.33	0.05	0.05
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS9 marine group	NS9 marine groupFA	0.01	0.03	-0.33	0.03	0.03
Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	AKYH767	AKYH767FA	0.01	0.03	-0.1	-0.33	-0.33
Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	CMW-169	CMW-169FA	0.01	0.03	-0.1	0.22	0.22
Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	env.OPS 17	env.OPS 17FA	0.01	0.03	-0.1	0.08	0.08
Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	FFCH9454	FFCH9454FA	0.01	0.03	-0.1	-0.15	-0.15
Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	KD1-131	KD1-131FA	0.01	0.03	-0.1	0.21	0.21
Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	KD3-93	KD3-93FA	0.01	0.03	-0.1	-0.02	-0.02
Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Lentimicrobiaceae	LentimicrobiaceaeFA	0.01	0.03	-0.1	0.06	0.05
Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Lentimicrobiaceae	Lentimicrobium	0.01	0.03	-0.1	0.06	0.19
Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	NS11-12 marine group	NS11-12 marine groupFA	0.01	0.03	-0.1	0.06	0.06
Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	S15A-MN91	S15A-MN91FA	0.01	0.03	-0.1	-0.14	-0.14
Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	0.01	0.03	-0.1	0.14	0.14
Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	SphingobacterialesOR	SphingobacterialesOR	0.01	0.03	-0.1	0.03	0.03
Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	ST-12K33	ST-12K33FA	0.01	0.03	-0.1	-0.19	-0.19
Bacteria	Bacteroidota	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobaculum	0.01	0.14	0.14	0.14	0.12
Bacteria	Bacteroidota	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobium	0.01	0.14	0.14	0.14	0.17
Bacteria	Bacteroidota	Ignavibacteria	Ignavibacteriales	BSV40	BSV40FA	0.01	-0.01	-0.01	0.36	0.36
Bacteria	Bacteroidota	Ignavibacteria	Ignavibacteriales	Ignavibacteriaceae	Ignavibacterium	0.01	-0.01	-0.01	-0.12	-0.12
Bacteria	Bacteroidota	Ignavibacteria	Ignavibacteriales	IgnavibacterialesOR	IgnavibacterialesOR	0.01	-0.01	-0.01	0.09	0.09
Bacteria	Bacteroidota	Ignavibacteria	Ignavibacteriales	LD-RB-34	LD-RB-34FA	0.01	-0.01	-0.01	0.01	0.01
Bacteria	Bacteroidota	Ignavibacteria	Ignavibacteriales	Melioribacteraceae	IheB3-7	0.01	-0.01	-0.01	-0.31	-0.31
Bacteria	Bacteroidota	Ignavibacteria	Ignavibacteriales	Melioribacteraceae	MelioribacteraceaeFA	0.01	-0.01	-0.01	-0.31	-0.06
Bacteria	Bacteroidota	Ignavibacteria	Ignavibacteriales	PHOS-HE36	PHOS-HE36FA	0.01	-0.01	-0.01	0.09	0.09
Bacteria	Bacteroidota	Ignavibacteria	Ignavibacteriales	SR-FBR-L83	SR-FBR-L83FA	0.01	-0.01	-0.01	0.3	0.3
Bacteria	Bacteroidota	Ignavibacteria	Ignavibacteriales	UA-50	UA-50FA	0.01	-0.01	-0.01	0.34	0.34
Bacteria	Bacteroidota	Ignavibacteria	SJA-28	SJA-28OR	SJA-28OR	0.01	-0.01	0.03	0.03	0.03
Bacteria	Bacteroidota	Kapabacteria	Kapabacteriales	KapabacterialesOR	KapabacterialesOR	0.01	-0.16	-0.16	-0.16	-0.16
Bacteria	Bacteroidota	Kryptonia	Kryptoniales	BSV26	BSV26FA	0.01	0.01	0.01	0.01	0.01
Bacteria	Bacteroidota	Kryptonia	Kryptoniales	MSB-3C8	MSB-3C8FA	0.01	0.01	0.01	-0.18	-0.18
Bacteria	Bacteroidota	OC31	OC31CL	OC31CL	OC31CL	0.01	-0.18	-0.18	-0.18	-0.18
Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	HK-RBC54	0.01	-0.31	0.08	0.08	0.08
Bacteria	Bacteroidota	Rhodothermia	Rhodothermales	Rhodothermaceae	RhodothermaceaeFA	0.01	-0.31	-0.32	-0.32	-0.32
Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	BacteriovoracaceaeFA	0.15	0.16	0.13	0.13	0.1
Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Bacteriovorax	0.15	0.16	0.13	0.13	0.22
Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Peredibacter	0.15	0.16	0.13	0.13	0.18
Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	0.15	0.16	0.15	0.15	0.07
Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	OM27 clade	0.15	0.16	0.15	0.15	0.11
Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20OR	0319-6G20OR	0.15	-0.01	-0.01	-0.01	-0.01
Bacteria	Caldatribacteriota	JS1	JS1CL	JS1CL	JS1CL	-0.02	-0.02	-0.02	-0.02	-0.02
Bacteria	Calditrichota	Calditrichia	Calditrichales	Calditrichaceae	Caldithrix	-0.24	-0.24	-0.24	-0.24	-0.22
Bacteria	Calditrichota	Calditrichia	Calditrichales	Calditrichaceae	CalditrichaceaeFA	-0.24	-0.24	-0.24	-0.24	0.02
Bacteria	Calditrichota	Calditrichia	Calditrichales	Calditrichaceae	Calorithrix	-0.24	-0.24	-0.24	-0.24	-0.15
Bacteria	Calditrichota	Calditrichia	Calditrichales	Calditrichaceae	JdFR-76	-0.24	-0.24	-0.24	-0.24	-0.28
Bacteria	Calditrichota	Calditrichia	Calditrichales	Calditrichaceae	SM23-31	-0.24	-0.24	-0.24	-0.24	0
Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	CampylobacteralesOR	CampylobacteralesOR	-0.06	-0.06	-0.06	-0.04	-0.04
Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Sulfurimonadaceae	Sulfuricurvum	-0.06	-0.06	-0.06	0.1	0.36
Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Sulfurimonadaceae	Sulfurimonas	-0.06	-0.06	-0.06	0.1	-0.08
Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Sulfurospirillaceae	Sulfurospirillum	-0.06	-0.06	-0.06	0.19	0.19
Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Sulfurovaceae	Sulfurovum	-0.06	-0.06	-0.06	-0.1	-0.1
Bacteria	Chloroflexi	Anaerolineae	1-20	1-20OR	1-20OR	0.44	0.21	0.09	0.09	0.09
Bacteria	Chloroflexi	Anaerolineae	ADurb.Bin180	ADurb.Bin180OR	ADurb.Bin180OR	0.44	0.21	-0.1	-0.1	-0.1
Bacteria	Chloroflexi	Anaerolineae	AnaerolineaeCL	AnaerolineaeCL	AnaerolineaeCL	0.44	0.21	-0.15	-0.15	-0.15
Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	ADurb.Bin120	0.44	0.21	0.31	0.31	-0.09
Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolinea	0.44	0.21	0.31	0.31	0.64
Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolineaceae UCG-001	0.44	0.21	0.31	0.31	0.48
Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	AnaerolineaceaeFA	0.44	0.21	0.31	0.31	0.11
Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Bellilinea	0.44	0.21	0.31	0.31	0.39
Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	GWD2-49-16	0.44	0.21	0.31	0.31	-0.16
Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Leptolinea	0.44	0.21	0.31	0.31	0.41
Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Levilinea	0.44	0.21	0.31	0.31	0.12
Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Longilinea	0.44	0.21	0.31	0.31	0.4
Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Ornatilinea	0.44	0.21	0.31	0.31	-0.05
Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Pelolinea	0.44	0.21	0.31	0.31	0.02
Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	RBG-16-58-14	0.44	0.21	0.31	0.31	-0.13
Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Thermomarinilinea	0.44	0.21	0.31	0.31	-0.21
Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	UTCFX1	0.44	0.21	0.31	0.31	0.35
Bacteria	Chloroflexi	Anaerolineae	Ardenticatenales	ArdenticatenalesOR	ArdenticatenalesOR	0.44	0.21	-0.34	-0.34	-0.34
Bacteria	Chloroflexi	Anaerolineae	Caldilineales	Caldilineaceae	CaldilineaceaeFA	0.44	0.21	0.4	0.4	0.35
Bacteria	Chloroflexi	Anaerolineae	Caldilineales	Caldilineaceae	Litorilinea	0.44	0.21	0.4	0.4	0.45
Bacteria	Chloroflexi	Anaerolineae	MSB-5B2	MSB-5B2OR	MSB-5B2OR	0.44	0.21	-0.09	-0.09	-0.09
Bacteria	Chloroflexi	Anaerolineae	RBG-13-54-9	RBG-13-54-9OR	RBG-13-54-9OR	0.44	0.21	-0.14	-0.14	-0.14
Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	A4bFA	0.44	0.21	-0.07	-0.08	-0.08
Bacteria	Chloroflexi	Anaerolineae	SBR1031	SBR1031OR	SBR1031OR	0.44	0.21	-0.07	-0.04	-0.04
Bacteria	Chloroflexi	Anaerolineae	SJA-15	SJA-15OR	SJA-15OR	0.44	0.21	0.39	0.39	0.39
Bacteria	Chloroflexi	Anaerolineae	Thermoflexales	Thermoflexaceae	Thermoflexus	0.44	0.21	-0.15	-0.15	-0.15
Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	RoseiflexaceaeFA	0.44	0.39	-0.02	-0.02	-0.02
