Alpha_Index	Index_EW_ d1_d2	Indx_Site_hyd_EW	Ind_site_EW	Sample	SPID	Add_Date	MG_plate	Annot_group	taxon_oid	GOLD_Analysis_Project_ID	GOLD_Sequencing_Project_ID	Location	Site	Plant	EWcoastGroup	SALTgroup	LU	Depth	Date.y	Salinity.x	Core_Weight_oz	Temp	Conductivity	CO2_uM_m2_s	CH4_uM_m2_s	CO2_mg_m2_h	CH4_ug_m2_h	CH4_ppm_s	CO2_ppm_s	D1_Read_count	iTag_name.x	latitude	longitude	Part_DM	pH	Cl	SO4	OM_LOI	Corg_LOI	N	C	NO3_N	NH4_N	Olsen_P	P	Zn	Mn	Fe	Cu	pwSampNO	PW_LABEL	Salinity.y	DOC_mg_L	NO2_pw	NO3_pw	PO4_pw	SO4_pw	Cl_pw	Br_pw	F_pw	Na_pw	Mg_pw	Ca_pw	K_pw	Sr_pw	Fe_pw	Mn_pw	Al_pw	Si_pw	Co_pw	Cu_pw	Zn_pw
126	9	14	20	WestPond_TuleB_D1	1072590	3_16_2017	2	c	3300014266	Ga0075359	Gp0116125	WestPond	WestPond	Tule	SF_Rest	FW	West	d1	10/15/17	0.380244176	7.8	13.7	605	59.76685661	0.141310035	9.77780885	31.71546917	0.003468412	1.466959459	136744	s009_WestPond_TuleB_D1	38.107059	-121.647591	8.8	6.3	5.36	46.6	73.64	42.71	2.059	38.44	4.97	115.64	6.9	0.113	NA	NA	NA	NA	s009	W84	0.38	10.24	1.12	0.079	NA	12.154	115.5075	0.942	0.4505	57146	15183.38	37792.07	5081.79	141.74	49.43	50.3	22.9	12007.63	0.21	0.5	NA
127	92	15	21	WestPond_TuleB_D2	1048130	3_23_2015	1	b	3300004078	Ga0055513	Gp0101398	WestPond	WestPond	Tule	SF_Rest	FW	West	d2	10/15/17	0.380244176	7.8	13.7	605	59.76685661	0.141310035	9.77780885	31.71546917	0.003468412	1.466959459	136744	s092_WestPond_TuleB_D2	38.107059	-121.647591	11.5	5.8	7.56	63.3	60.06	34.84	1.592	32.85	2.9	75.99	5.7	0.107	46	139	15880	38	s092	W84	0.38	10.24	1.12	0.079	NA	12.154	115.5075	0.942	0.4505	57146	15183.38	37792.07	5081.79	141.74	49.43	50.3	22.9	12007.63	0.21	0.5	NA
128	10	16	22	WestPond_TuleC_D1	1072591	3_16_2017	2	c	3300014261	Ga0075360	Gp0116126	WestPond	WestPond	Tule	SF_Rest	FW	West	d1	10/15/17	0.374460255	9.4	13.9	599	28.30481404	0.004572012	4.630644423	1.026137308	0.000112219	0.694733119	159529	s010_WestPond_TuleC_D1	38.107059	-121.647591	8.6	6.34	5.55	42.9	78.16	45.33	2.159	40.59	1.94	130.39	9.8	0.12	NA	NA	NA	NA	s010	W85	0.37	15.72	0.9945	4.4145	0.844	28.0435	187.8235	1.0555	0.4675	87546.9	20383.92	40939.41	4173.92	173.97	47.02	0.66	35.34	10294.88	0.37	20.36	15.68
129	93	17	23	WestPond_TuleC_D2	1048133	3_26_2015	1	b	3300004079	Ga0055514	Gp0101399	WestPond	WestPond	Tule	SF_Rest	FW	West	d2	10/15/17	0.374460255	9.4	13.9	599	28.30481404	0.004572012	4.630644423	1.026137308	0.000112219	0.694733119	159529	s093_WestPond_TuleC_D2	38.107059	-121.647591	7.5	5.97	9.37	59.3	77.36	44.87	1.719	40.03	2.88	101.27	9.4	0.112	38	85	9930	33	s093	W85	0.37	15.72	0.9945	4.4145	0.844	28.0435	187.8235	1.0555	0.4675	87546.9	20383.92	40939.41	4173.92	173.97	47.02	0.66	35.34	10294.88	0.37	20.36	15.68
119	11	18	13	WestPond_CattailA_D1	1072586	3_17_2017	2	c	3300014322	Ga0075355	Gp0116121	WestPond	WestPond	Cattail	SF_Rest	FW	West	d1	10/15/17	0.417574716	9	14.8	680	90.51809777	0.601606192	14.80868675	135.0238335	0.014766242	2.221739394	147512	s011_WestPond_CattailA_D1	38.107075	-121.647614	8.5	6.39	6.85	55.3	71.54	41.49	2.048	37.63	1.97	126.86	18.2	0.173	NA	NA	NA	NA	s011	W80	0.42	32.15	0.366	NA	NA	346.17	3448.372	10.79	0.25	1855692.54	225966.52	85518.77	49657.4	1817.5	70.28	104.2	23.79	13676.11	1.9	32.81	29.95
120	94	19	14	WestPond_CattailA_D2	1048118	5_21_2015	1	b	3300005208	Ga0069003	Gp0101394	WestPond	WestPond	Cattail	SF_Rest	FW	West	d2	10/15/17	0.417574716	9	14.8	680	90.51809777	0.601606192	14.80868675	135.0238335	0.014766242	2.221739394	147512	s094_WestPond_CattailA_D2	38.107075	-121.647614	10.7	5.78	10.09	57.9	60.14	34.88	1.58	33.22	2.07	158.34	6.8	0.1	67	139	17180	47	s094	W80	0.42	32.15	0.366	NA	NA	346.17	3448.372	10.79	0.25	1855692.54	225966.52	85518.77	49657.4	1817.5	70.28	104.2	23.79	13676.11	1.9	32.81	29.95
121	12	20	15	WestPond_CattailB_D1	1072587	3_17_2017	2	c	3300014323	Ga0075356	Gp0116122	WestPond	WestPond	Cattail	SF_Rest	FW	West	d1	10/15/17	0.423137002	8.6	13.9	674	110.4175557	0.1191333	18.0642218	26.73814724	0.002924091	2.710165584	159642	s012_WestPond_CattailB_D1	38.107075	-121.647614	7.8	6.33	6.9	57.6	75.56	43.82	2.002	40.89	2.71	235.67	10.1	0.117	NA	NA	NA	NA	s012	W81	0.42	9.884	0.958	NA	NA	24.5155	242.1595	1.2905	0.4325	106264.99	26250.82	51091.96	1909.2	259.96	51.92	27.53	23.29	11719.34	0.17	2.69	68.56
122	95	21	16	WestPond_CattailB_D2	1048121	5_22_2015	1	b	3300005219	Ga0069004	Gp0101395	WestPond	WestPond	Cattail	SF_Rest	FW	West	d2	10/15/17	0.423137002	8.6	13.9	674	110.4175557	0.1191333	18.0642218	26.73814724	0.002924091	2.710165584	159642	s095_WestPond_CattailB_D2	38.107075	-121.647614	7.1	5.93	10.23	59.3	75.39	43.73	1.731	39.36	NA	79.34	4.4	0.108	42	99	13270	54	s095	W81	0.42	9.884	0.958	NA	NA	24.5155	242.1595	1.2905	0.4325	106264.99	26250.82	51091.96	1909.2	259.96	51.92	27.53	23.29	11719.34	0.17	2.69	68.56
123	96	22	17	WestPond_CattailC_D2	1048124	5_21_2015	1	b	3300005217	Ga0069005	Gp0101396	WestPond	WestPond	Cattail	SF_Rest	FW	West	d2	10/15/17	0.36659283	9.8	13.7	584	108.8698978	0.457385698	17.81102623	102.6551443	0.011226394	2.672178788	142496	s096_WestPond_CattailC_D2	38.107075	-121.647614	13.2	5.62	12.98	62.8	50.49	29.28	1.421	28.94	0.73	98.05	11.6	0.095	60	158	17860	50	s096	W82	0.37	10.44	0.9945	0.161	NA	10.39	199.869	1.1535	0.428	85814.93	25103.66	56222.15	17074.79	255.36	53.7	0.74	23.04	11331.48	0.16	2.16	0.95
124	8	23	18	WestPond_TuleA_D1	1072589	3_16_2017	2	c	3300014303	Ga0075358	Gp0116124	WestPond	WestPond	Tule	SF_Rest	FW	West	d1	10/15/17	0.358055401	8.2	14	575	148.874059	1.257483677	24.35567428	282.2282567	0.030864557	3.654068852	138427	s008_WestPond_TuleA_D1	38.107059	-121.647591	7.5	6.3	3.25	32.2	85.39	49.53	1.693	43.4	2.72	225.21	14.5	0.09	NA	NA	NA	NA	s008	W83	0.36	10.65	0.982	0.594	NA	7.9715	160.541	1.0485	0.427	67222.29	20835.52	45960.11	1141.02	206.84	80.48	0.9	26.53	10654.28	0.15	0.89	NA
46	14	24	30	MayberryNE_TuleA_D1	1072546	3_16_2017	2	c	3300014258	Ga0075315	Gp0116081	Mayberry	MayberryNE	Tule	SF_Rest	Oligo	Pond	d1	8/30/17	3.325753237	10	22	5751	20.53030384	0.145389415	3.358740915	32.63104086	0.003568539	0.503910112	154672	s014_MayberryNE_TuleA_D1	38.052509	-121.76873	7	6.64	46.55	462.3	57.51	33.36	1.877	33.36	7.45	191.78	2.4	0.112	NA	NA	NA	NA	s014	W1	3.33	78.92	1.166	NA	2.98	15.034	1276.85	5.332	0.69	759634.08	106436.13	107005.82	22336.15	1075.49	342.81	216.4	55.07	3274.7	1.17	20.8	1.24
47	97	25	31	MayberryNE_TuleA_D2	1072547	3_16_2017	2	c	3300014314	Ga0075316	Gp0116082	Mayberry	MayberryNE	Tule	SF_Rest	Oligo	Pond	d2	8/30/17	3.325753237	10	22	5751	20.53030384	0.145389415	3.358740915	32.63104086	0.003568539	0.503910112	154672	s097_MayberryNE_TuleA_D2	38.052509	-121.76873	9.1	6.89	120.7	1049.9	65.16	37.79	1.892	32.22	2.31	114.8	2.6	0.112	37	207	36000	22	s097	W1	3.33	78.92	1.166	NA	2.98	15.034	1276.85	5.332	0.69	759634.08	106436.13	107005.82	22336.15	1075.49	342.81	216.4	55.07	3274.7	1.17	20.8	1.24
48	15	26	32	MayberryNE_TuleB_D1	1072548	3_16_2017	2	c	3300014309	Ga0075317	Gp0116083	Mayberry	MayberryNE	Tule	SF_Rest	Oligo	Pond	d1	8/30/17	3.436740106	9.8	21.9	5918	12.56376263	0.192548287	2.055421289	43.21532629	0.00472604	0.308373762	168217	s015_MayberryNE_TuleB_D1	38.052509	-121.76873	10.4	6.61	60.82	646.2	56.95	33.03	2.284	34.02	5.69	149.55	2.8	0.107	NA	NA	NA	NA	s015	W2	3.44	109.2	2.158	NA	2.026	26.068	1992.234	8.246	0.8	996395.73	165305.97	143863.58	34178.03	1660.67	151.26	1.09	52.9	5318.4	0.8	21.68	4.43
49	98	27	33	MayberryNE_TuleB_D2	1072549	3_16_2017	2	c	3300014256	Ga0075318	Gp0116084	Mayberry	MayberryNE	Tule	SF_Rest	Oligo	Pond	d2	8/30/17	3.436740106	9.8	21.9	5918	12.56376263	0.192548287	2.055421289	43.21532629	0.00472604	0.308373762	168217	s098_MayberryNE_TuleB_D2	38.052509	-121.76873	10.7	6.96	101.56	835.8	62.6	36.31	2.059	32.92	1.45	243.07	9.5	0.132	33	244	25660	21	s098	W2	3.44	109.2	2.158	NA	2.026	26.068	1992.234	8.246	0.8	996395.73	165305.97	143863.58	34178.03	1660.67	151.26	1.09	52.9	5318.4	0.8	21.68	4.43
50	16	28	34	MayberryNE_TuleC_D1	1072550	3_16_2017	2	c	3300014257	Ga0075319	Gp0116085	Mayberry	MayberryNE	Tule	SF_Rest	Oligo	Pond	d1	8/30/17	3.431605924	10	22.3	5960	24.41456382	0.996253201	3.99420267	223.5979753	0.024452734	0.599248101	142672	s016_MayberryNE_TuleC_D1	38.052509	-121.76873	11	6.83	57.2	510.3	53.76	31.18	1.884	30.34	5.87	165.2	2.4	0.107	NA	NA	NA	NA	s016	W3	3.43	115	0.226	NA	1.24	48.862	2169.22	8.982	0.834	1083096.2	172987.87	110855.9	31768.44	1401.02	91.02	0.65	26.32	7443.59	1.94	23.8	2.27
51	99	29	35	MayberryNE_TuleC_D2	1072551	3_16_2017	2	c	3300014255	Ga0075320	Gp0116086	Mayberry	MayberryNE	Tule	SF_Rest	Oligo	Pond	d2	8/30/17	3.431605924	10	22.3	5960	24.41456382	0.996253201	3.99420267	223.5979753	0.024452734	0.599248101	142672	s099_MayberryNE_TuleC_D2	38.052509	-121.76873	11.3	7.14	95.24	708.3	57.29	33.23	1.748	31.08	2.5	197.42	2.8	0.118	36	277	35320	21	s099	W3	3.43	115	0.226	NA	1.24	48.862	2169.22	8.982	0.834	1083096.2	172987.87	110855.9	31768.44	1401.02	91.02	0.65	26.32	7443.59	1.94	23.8	2.27
40	17	30	24	MayberryNE_CattailA_D1	1072540	3_16_2017	2	c	3300014268	Ga0075309	Gp0116075	Mayberry	MayberryNE	Cattail	SF_Rest	Oligo	Pond	d1	8/31/17	3.1	14.2	22.1	5430	12.23676997	0.118422812	2.001925557	26.5786859	0.002906652	0.300347826	183443	s017_MayberryNE_CattailA_D1	38.052479	-121.7687	48.7	7.35	61.54	208.1	17.82	10.34	0.888	13.91	0.13	9.84	13.9	0.073	NA	NA	NA	NA	s017	W4	3.12	88.69	0.998	NA	1.666	15.41	1003.358	4.148	0.812	514338.59	92674.94	125406.03	14340.51	1136.76	712.9	136.56	27.99	10297.04	0.78	14.99	0.27
41	100	31	25	MayberryNE_CattailA_D2	1072541	3_16_2017	2	c	3300014302	Ga0075310	Gp0116076	Mayberry	MayberryNE	Cattail	SF_Rest	Oligo	Pond	d2	8/31/17	3.1	14.2	22.1	5430	12.23676997	0.118422812	2.001925557	26.5786859	0.002906652	0.300347826	183443	s100_MayberryNE_CattailA_D2	38.052479	-121.7687	52.9	7.27	57.33	54.7	22.33	12.95	0.928	13.98	0.19	9.92	13.1	0.08	59	565	29540	41	s100	W4	3.12	88.69	0.998	NA	1.666	15.41	1003.358	4.148	0.812	514338.59	92674.94	125406.03	14340.51	1136.76	712.9	136.56	27.99	10297.04	0.78	14.99	0.27
42	18	32	26	MayberryNE_CattailB_D1	1072542	3_16_2017	2	c	3300014259	Ga0075311	Gp0116077	Mayberry	MayberryNE	Cattail	SF_Rest	Oligo	Pond	d1	8/31/17	3.3	13.6	22.5	5807	10.4721964	0.075898881	1.713242764	17.03466156	0.001862915	0.2570369	147548	s018_MayberryNE_CattailB_D1	38.052479	-121.7687	45.9	7.21	63.16	202.2	20.48	11.88	0.987	14.53	0.56	14.3	4.7	0.07	NA	NA	NA	NA	s018	W5	3.32	72.63	1.62	NA	1.334	22.95	966.432	4.162	0.7	490642.11	85864.31	124111.32	13106.42	1102.4	107.3	12.35	18.24	9100.31	0.85	12.38	NA
43	101	33	27	MayberryNE_CattailB_D2	1072543	3_15_2017	2	c	3300014254	Ga0075312	Gp0116078	Mayberry	MayberryNE	Cattail	SF_Rest	Oligo	Pond	d2	8/31/17	3.3	13.6	22.5	5807	10.4721964	0.075898881	1.713242764	17.03466156	0.001862915	0.2570369	147548	s101_MayberryNE_CattailB_D2	38.052479	-121.7687	51.3	7.29	62.39	53.4	21.53	12.49	0.858	13.36	NA	13.41	12.8	0.077	61	533	30210	41	s101	W5	3.32	72.63	1.62	NA	1.334	22.95	966.432	4.162	0.7	490642.11	85864.31	124111.32	13106.42	1102.4	107.3	12.35	18.24	9100.31	0.85	12.38	NA
44	19	34	28	MayberryNE_CattailC_D1	1072544	3_16_2017	2	c	3300014267	Ga0075313	Gp0116079	Mayberry	MayberryNE	Cattail	SF_Rest	Oligo	Pond	d1	8/31/17	3.3	13.8	22.1	5756	6.448730832	0.025534859	1.055007089	5.731015721	0.000626745	0.158282152	133592	s019_MayberryNE_CattailC_D1	38.052479	-121.7687	44	7.22	67.5	174.3	19.81	11.49	0.938	13.56	0.35	12.49	3.6	0.072	NA	NA	NA	NA	s019	W6	3.32	93.27	1.368	NA	1.444	34.642	1701.18	7.36	0.706	854405.27	141977.4	111678.4	27640.86	1264.88	195.68	55.72	21.05	8420.45	0.83	16.78	0.96
45	102	35	29	MayberryNE_CattailC_D2	1072545	3_16_2017	2	c	3300014265	Ga0075314	Gp0116080	Mayberry	MayberryNE	Cattail	SF_Rest	Oligo	Pond	d2	8/31/17	3.3	13.8	22.1	5756	6.448730832	0.025534859	1.055007089	5.731015721	0.000626745	0.158282152	133592	s102_MayberryNE_CattailC_D2	38.052479	-121.7687	49.6	6.81	64.55	64.4	23.62	13.7	0.933	13.82	0.2	10.9	15	0.086	62	449	29560	42	s102	W6	3.32	93.27	1.368	NA	1.444	34.642	1701.18	7.36	0.706	854405.27	141977.4	111678.4	27640.86	1264.88	195.68	55.72	21.05	8420.45	0.83	16.78	0.96
64	23	36	36	MayberrySE_CattailA_D1	1072556	3_16_2017	2	c	3300014270	Ga0075325	Gp0116091	Mayberry	MayberrySE	Cattail	SF_Rest	Oligo	Pond	d1	9/4/17	1.958439419	12.8	21.2	3436	9.839868591	0.071790103	1.609794453	16.11249201	0.001762066	0.241516605	151221	s023_MayberrySE_CattailA_D1	38.049904	-121.765358	41	6.88	36.69	349.7	26.52	15.38	1.219	16.95	0.39	27.21	8.6	0.077	NA	NA	NA	NA	s023	W7	1.96	17.59	1.208	NA	1.866	138.55	670.022	2.236	0.176	331733.17	51682.37	73850.47	732.95	452.83	359.11	259.67	20.59	9269.13	1.12	5.94	9.46
65	106	37	37	MayberrySE_CattailA_D2	1072557	3_16_2017	2	c	3300014271	Ga0075326	Gp0116092	Mayberry	MayberrySE	Cattail	SF_Rest	Oligo	Pond	d2	9/4/17	1.958439419	12.8	21.2	3436	9.839868591	0.071790103	1.609794453	16.11249201	0.001762066	0.241516605	151221	s106_MayberrySE_CattailA_D2	38.049904	-121.765358	52.2	7.44	21.4	45.1	23.25	13.48	0.964	14.78	NA	21.09	22.8	0.083	53	571	27920	40	s106	W7	1.96	17.59	1.208	NA	1.866	138.55	670.022	2.236	0.176	331733.17	51682.37	73850.47	732.95	452.83	359.11	259.67	20.59	9269.13	1.12	5.94	9.46
66	24	38	38	MayberrySE_CattailB_D1	1072558	3_16_2017	2	c	3300014272	Ga0075327	Gp0116093	Mayberry	MayberrySE	Cattail	SF_Rest	Oligo	Pond	d1	9/4/17	1.519552185	12.8	21.3	2709	37.86581116	2.672484983	6.194815731	599.8095971	0.065595337	0.929404908	173466	s024_MayberrySE_CattailB_D1	38.049904	-121.765358	42.1	6.52	23.91	487.8	26.45	15.34	1.282	17.78	0.29	29.42	9	0.072	NA	NA	NA	NA	s024	W8	1.52	43.49	0.292	NA	5.332	106.7045	1112.359	3.9305	0.3025	558319.95	78058.07	107328.02	2159.6	751.71	387.74	426.6	33.55	18644.98	0.62	8.56	2.23
67	20	39	39	MayberrySE_TuleA_D1	1072562	3_16_2017	2	c	3300014310	Ga0075331	Gp0116097	Mayberry	MayberrySE	Tule	SF_Rest	Oligo	Pond	d1	9/6/17	1.415937623	13.2	21.8	2561	73.22543537	5.663839784	11.97962133	1271.185986	0.139017238	1.797296214	168632	s020_MayberrySE_TuleA_D1	38.049923	-121.765244	43.8	7.23	43.32	223.3	21.87	12.69	0.983	14.74	NA	10.82	5.8	0.078	NA	NA	NA	NA	s020	W17	1.42	49.05	1.636	NA	1.206	36.954	1182.756	4.776	0.328	567078.07	106259.77	163942.64	NA	1556.4	192.86	815.47	24.63	10326.12	1.52	14.38	1.67
