"TS_tax"	"Sandmound_TuleA_D1"	"Sandmound_TuleA_D2"	"Sandmound_TuleB_D1"	"Sandmound_TuleB_D2"	"Sandmound_TuleC_D1"	"Sandmound_TuleC_D2"	"Sandmound_ThreeSqA_D1_rd"	"Sandmound_ThreeSqA_D2"	"Sandmound_ThreeSqB_D1"	"Sandmound_ThreeSqB_D2"	"Sandmound_ThreeSqC_D1"	"Sandmound_ThreeSqC_D2"	"WestPond_TuleA_D2"	"WestPond_TuleB_D1"	"WestPond_TuleB_D2"	"WestPond_TuleC_D1"	"WestPond_TuleC_D2"	"WestPond_CattailA_D1"	"WestPond_CattailA_D2"	"WestPond_CattailB_D1"	"WestPond_CattailB_D2"	"WestPond_CattailC_D2"	"WestPond_TuleA_D1"	"MayberryNE_TuleA_D1"	"MayberryNE_TuleA_D2"	"MayberryNE_TuleB_D1"	"MayberryNE_TuleB_D2"	"MayberryNE_TuleC_D1"	"MayberryNE_TuleC_D2"	"MayberryNE_CattailA_D1"	"MayberryNE_CattailA_D2"	"MayberryNE_CattailB_D1"	"MayberryNE_CattailB_D2"	"MayberryNE_CattailC_D1"	"MayberryNE_CattailC_D2"	"MayberrySE_CattailA_D1"	"MayberrySE_CattailA_D2"	"MayberrySE_CattailB_D1"	"MayberrySE_TuleA_D1"	"MayberryNW_TuleA_D1"	"MayberryNW_TuleA_D2"	"MayberryNW_TuleB_D1"	"MayberryNW_TuleB_D2"	"MayberryNW_TuleC_D1"	"MayberryNW_TuleC_D2"	"MayberryNW_CattailA_D1"	"MayberryNW_CattailA_D2"	"MayberryNW_CattailB_D1"	"MayberryNW_CattailB_D2"	"MayberryNW_CattailC_D1"	"MayberryNW_CattailC_D2"	"Browns_TuleA_D1"	"Browns_TuleA_D2"	"Browns_TuleB_D1"	"Browns_TuleB_D2"	"Browns_TuleC_D1"	"Browns_TuleC_D2"	"Browns_ThreeSqA_D1"	"Browns_ThreeSqA_D2"	"Browns_ThreeSqB_D1"	"Browns_ThreeSqB_D2"	"Browns_ThreeSqC_D1"	"Browns_ThreeSqC_D2"	"RushSE_TuleA_D1"	"RushSE_TuleA_D2"	"RushSE_TuleB_D1"	"RushSE_TuleB_D2"	"RushSE_TuleC_D1"	"RushSE_TuleC_D2"	"RushSE_CattailNLA_D1"	"RushSE_CattailNLA_D2"	"RushSE_CattailNLB_D1"	"RushSE_CattailNLB_D2"	"RushSE_CattailNLC_D1"	"RushSE_CattailNLC_D2"	"RushMan_CattailNLA_D2"	"RushMan_CattailNLB_D2"	"RushMan_CattailNLC_D1"	"RushMan_CattailNLC_D2"	"RushMan_ThreeSqA_D1"	"RushMan_ThreeSqA_D2"	"RushMan_ThreeSqB_D1"	"RushMan_ThreeSqB_D2"	"RushMan_ThreeSqC_D2"	"RushOxbow_ThreeSqA_D1"	"RushOxbow_ThreeSqA_D2"	"RushOxbow_ThreeSqB_D1"	"RushOxbow_ThreeSqB_D2"	"RushOxbow_ThreeSqC_D1"	"RushOxbow_ThreeSqC_D2"	"Joice_CattailNLA_D1"	"Joice_CattailNLA_D2"	"Joice_CattailNLB_D1"	"Joice_CattailNLB_D2"	"Joice_CattailNLC_D1"	"Joice_CattailNLC_D2"	"Joice_ThreeSqA_D1"	"Joice_ThreeSqA_D1_rd"	"Joice_ThreeSqA_D2"	"Joice_ThreeSqA_D2_rd"	"Joice_ThreeSqB_D1"	"Joice_ThreeSqC_D1"	"Joice_ThreeSqC_D2"	"Goodyear_PhragA_D2"	"Goodyear_PhragC_D2"	"White_CordA_D2"	"White_CordB_D2"	"White_ThreeSqA_D1"	"White_ThreeSqA_D2"	"White_ThreeSqB_D1"	"White_ThreeSqB_D2"	"White_ThreeSqC_D1"	"White_ThreeSqC_D2"	"Tolay_CordA_D2"	"Tolay_CordB_D2"	"Tolay_CordC_D2"	"China_Galinas_CordA_D2"	"China_Galinas_CordB_D2"	"China_Galinas_CordC_D2"	"China_Galinas_PWA_D1"	"China_Galinas_PWA_D2"	"China_Galinas_PWB_D1"	"China_Galinas_PWB_D2"	"China_Galinas_PWC_D1"	"China_Bullhead_CordA_D2"	"China_Bullhead_CordB_D2"	"China_Bullhead_CordC_D2"	"China_Galinas_PWC_D2"	"Muzzi_CordA_D2"	"Muzzi_CordB_D2"	"Muzzi_CordC_D2"	"Muzzi_PWA_D1"	"Muzzi_PWA_D2"	"Muzzi_PWB_D1"	"Muzzi_PWB_D2"	"Muzzi_PWC_D1"	"Muzzi_PWC_D2"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"species"
"12"	"amoA-AOA_Root; Archaea; Thaumarchaeota; Nitrososphaeria; Nitrososphaerales; Nitrososphaeraceae; Nitrososphaera"	1	2	1	4	3	1	5	3	3	5	3	5	0	0	0	0	0	0	0	0	0	0	0	1	15	0	9	0	45	35	12	49	34	20	48	6	47	16	19	11	58	20	56	57	42	5	54	27	50	33	36	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	13	7	2	7	5	8	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	1	0	0	1	0	1	1	1	1	1	0	0	NA	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0	1	" Archaea"	" Thaumarchaeota"	" Nitrososphaeria"	" Nitrososphaerales"	" Nitrososphaeraceae"	" Nitrososphaera"	" NitrososphaeraGE"	""
"13"	"amoA-AOA_Root; Archaea; Thaumarchaeota; unclassified Thaumarchaeota; Candidatus Nitrosotalea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	" Archaea"	" Thaumarchaeota"	" unclassified Thaumarchaeota"	" Candidatus Nitrosotalea"	" Candidatus NitrosotaleaOR"	" Candidatus NitrosotaleaOR"	" Candidatus NitrosotaleaOR"	""
"14"	"amoA-AOA_Root; Archaea; Thaumarchaeota; unclassified Thaumarchaeota; Candidatus Nitrosotenuis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	2	0	0	1	1	0	0	3	2	2	1	0	3	0	5	3	0	0	0	0	0	5	3	4	1	7	3	2	3	2	0	0	0	NA	0	0	2	0	0	0	1	0	10	6	7	3	1	0	2	0	1	" Archaea"	" Thaumarchaeota"	" unclassified Thaumarchaeota"	" Candidatus Nitrosotenuis"	" Candidatus NitrosotenuisOR"	" Candidatus NitrosotenuisOR"	" Candidatus NitrosotenuisOR"	""
"15"	"amoA-AOA_Root; Archaea; Thaumarchaeota; unclassified Thaumarchaeota; unclassified Thaumarchaeota "	2	0	1	2	1	1	3	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	1	2	0	0	1	1	2	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	" Archaea"	" Thaumarchaeota"	" unclassified Thaumarchaeota"	" unclassified Thaumarchaeota "	" unclassified Thaumarchaeota OR"	" unclassified Thaumarchaeota OR"	" unclassified Thaumarchaeota OR"	""
"16"	"amoA-AOA_Root; Bacteria; Proteobacteria; Betaproteobacteria; Nitrosomonadales; Nitrosomonadaceae; Nitrosomonas"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	" Bacteria"	" Proteobacteria"	" Betaproteobacteria"	" Nitrosomonadales"	" Nitrosomonadaceae"	" Nitrosomonas"	" NitrosomonasGE"	""
"17"	"amoA-AOB_Root; Bacteria; Proteobacteria"	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	" Bacteria"	" Proteobacteria"	" ProteobacteriaPH"	" ProteobacteriaPH"	" ProteobacteriaPH"	" ProteobacteriaPH"	" ProteobacteriaPH"	""
"18"	"amoA-AOB_Root; Bacteria; Proteobacteria; Betaproteobacteria"	4	0	4	0	3	2	4	1	0	2	1	1	0	0	0	0	0	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0	2	0	1	1	1	2	0	1	1	3	2	0	0	0	0	0	2	0	1	0	2	6	0	1	2	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	" Bacteria"	" Proteobacteria"	" Betaproteobacteria"	" BetaproteobacteriaCL"	" BetaproteobacteriaCL"	" BetaproteobacteriaCL"	" BetaproteobacteriaCL"	""
"19"	"amoA-AOB_Root; Bacteria; Proteobacteria; Betaproteobacteria; Nitrosomonadales"	9	6	7	6	2	7	10	10	7	5	9	7	0	0	0	1	2	13	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	4	2	8	0	11	0	7	2	3	4	4	9	2	3	2	3	7	3	1	1	6	8	8	2	0	0	0	0	14	4	2	6	7	11	1	3	11	7	10	1	1	1	0	9	4	0	0	3	3	4	0	2	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	" Bacteria"	" Proteobacteria"	" Betaproteobacteria"	" Nitrosomonadales"	" NitrosomonadalesOR"	" NitrosomonadalesOR"	" NitrosomonadalesOR"	""
"20"	"amoA-AOB_Root; Bacteria; Proteobacteria; Betaproteobacteria; Nitrosomonadales; Nitrosomonadaceae"	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	3	0	1	0	0	0	0	0	4	0	1	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	" Bacteria"	" Proteobacteria"	" Betaproteobacteria"	" Nitrosomonadales"	" Nitrosomonadaceae"	" NitrosomonadaceaeFA"	" NitrosomonadaceaeFA"	""
"21"	"amoA-AOB_Root; Bacteria; Proteobacteria; Betaproteobacteria; Nitrosomonadales; Nitrosomonadaceae; Nitrosomonas"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	2	4	0	1	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	1	1	0	1	0	0	3	0	0	2	0	1	5	1	0	1	0	4	4	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	1	1	4	0	4	5	3	4	4	13	1	1	1	2	NA	0	0	0	0	4	2	4	0	6	7	5	0	0	0	0	0	1	" Bacteria"	" Proteobacteria"	" Betaproteobacteria"	" Nitrosomonadales"	" Nitrosomonadaceae"	" Nitrosomonas"	" NitrosomonasGE"	""
"22"	"amoA-AOB_Root; Bacteria; Proteobacteria; Betaproteobacteria; Nitrosomonadales; Nitrosomonadaceae; Nitrosospira"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	2	0	4	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	1	8	1	3	2	0	1	1	0	0	0	NA	0	0	0	0	3	0	0	0	1	0	1	0	0	0	0	1	0	" Bacteria"	" Proteobacteria"	" Betaproteobacteria"	" Nitrosomonadales"	" Nitrosomonadaceae"	" Nitrosospira"	" NitrosospiraGE"	""
